Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Agile software development approach for 'ad-hoc' IT projects","Restrictive Scrum assumptions make the effectiveness of this approach debatable in projects deviating from typical execution conditions. This article delivers a comprehensive software development approach for both academic and commercial Information Technology (IT) projects effectuated by teams that are hampered by significantly unsystematic participation of project members and mercurial internal communication. The nature of ‘ad-hoc’ projects imposes another level of difficulty in terms of both managing the conduct of such a project and ensuring the quality of the end product. Multicyclic action research enabled a gradual adaptation of the Scrum approach to support such project conditions. This study introduces major alterations to Sprint implementation and minor enhancements within the documentation process to streamline knowledge sharing among Development Team members. Proposed key alterations include the evolution of Daily Scrum towards Weekly Scrum, the possibility of extending Sprints length, the eventuality to switch team members during Sprint due to substantial failure to meet deadlines, having at least two team members responsible for a single Product Backlog Item (PBI) at all times, as well as exclusion of Burndown Chart in favor for Development Team members updating their working time. Positive validation of enhancements in mixed settings confirms that the generic Scrum framework can be adapted to support highly volatile projects. The proposed approach is suitable not only for carrying out software development initiatives that rely heavily on the skills of external experts and/or volunteers. It also supports traditional Scrum teams that seek to reduce their exposure to risk arising from organizational changes.","Michał Kuciapski; Bartosz Marcinkowski","2023","International Journal of Information Systems and Project Management","10.12821/ijispm110402","5","Include"
"Supporting the Architectural Knowledge Condensation in a Co-Localized Agile Environment for Small Entities Using an Ontology","Agile software development companies considered small entities (VSE) face a new reality of remote development. However, remote communication has generated many videos because video calls are often recorded for later reference. The architectural knowledge contained in videos, derived from virtual meetings, is essential for companies facing the knowledge vaporization problem. However, only some proposals in the literature can potentially manage AK in videos. The present article proposes a solution to recover this architectural knowledge contained in videos, using an ontology as a classification scheme. We based our proposal on the concept of architectural knowledge condensation and proposed a condensation cycle from it. Finally, we validated our ontology to manage architectural knowledge following the Methontology guidelines. Implementing an ontology as a classification scheme represents a step forward to achieving the condensation of architectural knowledge in an agile development environment for VSE.","J. L. Robles; Gilberto Borrego; Ramón R. Palacio; F. Castillo-Barrera","2023","Programming and computer software","10.1134/s0361768823080182","1","Include"
"Traceability of Architectural Design Decisions and Software Artifacts: A Systematic Mapping Study","Abstract The definition of architecture is a crucial task in software development, where the architect is responsible for making the right decisions to meet specific functional and quality requirements. These architectural design decisions form the foundation that shapes the arrangement of elements within a system. Unfortunately, these decisions are often poorly documented, implicit in various artifacts, or inadequately updated, leading to negative consequences on the maintainability of a system and resulting in rework and cost overruns. The objective of this systematic mapping study is to comprehend the current state regarding approaches for traceability of architectural design decisions and how these decisions are linked with the different artifacts used in software development. To achieve this, an information extraction protocol is followed, utilizing databases with search strings, inclusion, and exclusion criteria. The findings demonstrate that this knowledge is highly relevant; however, it is rarely explicitly documented. As a result, most works propose diverse approaches to extract this knowledge from existing technical documentation, commonly used tools, and other sources of product and process information. In contrast, it is evident that there is no standard for documenting design decisions, leading each author to present a subjective version of what is important and where to trace these decisions. This suggests that there is still a significant amount of research to be conducted regarding the traceability of these architectural design decisions and their connection with software artifacts. Such research could lead to intriguing new proposals for investigation.","Santiago Hyun; Julio Ariel Hurtado","2023","Foundations of Computing and Decision Sciences","10.2478/fcds-2023-0018","2","Include"
"Sport Organization Employee Performance: Skills, Creativity and Innovation","Good performance can have a tremendous impact on the organization concerned. The favored performance increase does not quickly materialize however calls for a protracted method. Good employee performance will be useful for companies or institutions in achieving their goals. This research is to look at the factors that influence employee performance at KONI Sungaipenuh City. On this have a look at, soft skills have a significant impact on creativity. Likewise, creativity has a significant effect on employee performance and soft skills have a substantial effect on employee performance through creativity. in the meantime, other hypotheses on this take a look at implying that the speculation is rejected or has no widespread impact. The data analysis approach to be able to be used in this examination is to apply a structural equation modeling. SEM offers capabilities for path analysis, the path analysis that will be used in this research is partial least squares (PLS), using Smart PLS 4.0 software. The sample consisted of 42 respondents from the employees of the KONI Sungaipenuh City","Edo Andrefson; Eko Fikriando; Relifra Relifra","2023","Journal of Business Management and Economic Development","10.59653/jbmed.v1i02.149","2","Include"
"Agile Software Requirements Engineering Challenges-Solutions - A Conceptual Framework from Systematic Literature Review","Agile software requirements engineering processes enable quick responses to reflect changes in the client’s software requirements. However, there are challenges associated with agile requirements engineering processes, which hinder fast, sustainable software development. Research addressing the challenges with available solutions is patchy, diverse and inclusive. In this study, we use a systematic literature review coupled with thematic classification and gap mapping analysis to examine extant solutions against challenges; the typologies/classifications of challenges faced with agile software development in general and specifically in requirements engineering and how the solutions address the challenges. Our study covers the period from 2009 to 2023. Scopus—the largest database for credible academic publications was searched. Using the exclusion criteria to filter the articles, a total of 78 valid papers were selected and reviewed. Following our investigation, we develop a framework that takes a three-dimensional view of agile requirements engineering solutions and suggest an orchestrated approach balancing the focus between the business context, project management and agile techniques. This study contributes to the theoretical frontier of agile software requirement engineering approaches and guidelines for practice.","Zoe Hoy; X. Xu","2023","Inf.","10.3390/info14060322","27","Include"
"The role of knowledge-based resources in Agile Software Development contexts","The software value chain is knowledge-based since it is highly dependant on people. Consequently, a lack of practice in managing knowledge as a resource may jeopardise its application in software development. Knowledge-Based Resources (KBRs) relate to employees’ intangible knowledge that is deemed to be valuable to a company’s competitive advantage. In this study, we apply a grounded theory approach to examine the role of KBRs in Agile Software Development (ASD). To this aim, we collected data from 18 practitioners from five companies. We develop the Knowledge-Push theory, which explains how KBRs boost the need for change in ASD. Our results show that the practitioners who participated in the study utilise, as primary strategies, task planning, resource management, and social collaboration. These strategies are implemented through the team environment and settings and incorporate an ability to codify and transmit knowledge. However, this process of codification is non-systematic, which consequently introduces inefficiency in the domain of knowledge resource utilisation, resulting in potential knowledge waste. This inefficiency can generate negative implications for software development, including meaningless searches in databases, frustration because of recurrent problems, the unnecessary redesign of solutions, and a lack of awareness of knowledge sources.","R. Ouriques; K. Wnuk; T. Gorschek; Richard Berntsson-Svensson","2023","Journal of Systems and Software","10.1016/j.jss.2022.111572","14","Include"
"International high-growth of early internationalizing firms: A feedback loop experience","ABSTRACT Today, the factors that influence EIF international trajectory remain underexplored. Recently a new research perspective has encouraged using the microfoundations of dynamic capabilities to better understand EIFs’ international high-growth. To respond to that research opportunity, we explored the case of 15 high-growth EIFs using an abductive method. We found the existence of two feedback loops that seem to be at the origin of EIFs’ international high-growth: one related to international commercial intensity and the other, to international expansion. Then, we propose an integrative model based on the microfoundations of dynamic capabilities to understand how some EIFs are experiencing international high-growth. Finally, we offer managers some key recommendations regarding human resources and how to manage them during EIFs’ international high-growth trajectory and for guaranteeing organizational planning and agility. Video Abstract Read the transcript Watch the video on Vimeo © 2023 International Council for Small Business","Pierre-Louis Meuric; Véronique Favre-Bonte","2023","Journal of Small Business Management","10.1080/00472778.2023.2169705","5","Include"
"Mining architectural information: A systematic mapping study","Mining Software Repositories (MSR) has become an essential activity in software development. Mining architectural information (e.g., architectural models) to support architecting activities, such as architecture understanding, has received significant attention in recent years. However, there is a lack of clarity on what literature on mining architectural information is available. Consequently, this may create difficulty for practitioners to understand and adopt the state-of-the-art research results, such as what approaches should be adopted to mine what architectural information in order to support architecting activities. It also hinders researchers from being aware of the challenges and remedies for the identified research gaps. We aim to identify, analyze, and synthesize the literature on mining architectural information in software repositories in terms of architectural information and sources mined, architecting activities supported, approaches and tools used, and challenges faced. A Systematic Mapping Study (SMS) has been conducted on the literature published between January 2006 and December 2022. Of the 104 primary studies finally selected, 7 categories of architectural information have been mined, among which architectural description is the most mined architectural information; 11 categories of sources have been leveraged for mining architectural information, among which version control system (e.g., GitHub) is the most popular source; 11 architecting activities can be supported by the mined architectural information, among which architecture understanding is the most supported activity; 95 approaches and 56 tools were proposed and employed in mining architectural information; and 4 types of challenges in mining architectural information were identified. This SMS provides researchers with promising future directions and help practitioners be aware of what approaches and tools can be used to mine what architectural information from what sources to support various architecting activities.","Musengamana Jean de Dieu; Peng Liang; Mojtaba Shahin; Chen Yang; Zengyang Li","2022","Empirical Software Engineering","10.1007/s10664-024-10480-6","5","Include"
"Development of E-LKPD oriented minimum competency assessment (MCA) on 6C’s ability of high school students","Learning in the 21st century is currently required to be able to improve 6C’s skills (collaboration, communication, creative thinking, critical thinking, computing, and affection). This study aims to produce MCA-oriented E-LKPD products on 6C’s's abilities of high school students that are valid, practical and effective. The Research and Development research development method follows the four-D Model which consists of 4 stages of development, namely: define, design, develop, and disseminate. The research subjects were ten students of class XII at SMA Wachid Hasyim 2 Taman. Data collection techniques using questionnaires and post-tests. The data analysis used in this research is descriptive quantitative and qualitative analysis. The results of this study obtained the validity of the MCA-oriented E-LKPD on 6C’s abilities from validation data filled in by material experts, media experts and practitioner experts with a score of 3.3; 3.5; and 3.5. In addition, the practicality of the MCA-oriented E-LKPD on 6C’s abilities from the assessment of expert practitioners, namely teachers as users, gives a score of 3.5. While the effectiveness of the MCA-oriented E-LKPD on 6C’s abilities from the results of trials on small groups of ten students obtained an average of 81.13% with a very effective interpretation. Based on the results of this study, the developed E-LKPD media met the expected validity, practicality and effectiveness criteria. So that it can be said that the MCA-oriented E-LKPD products on the 6C’s abilities of high school students are valid, practical, and effective for use in learning","Rahmad Sugianto; Mohammad Syaifuddin; Y. M. Cholily","2022","Al-Jabar : Jurnal Pendidikan Matematika","10.24042/ajpm.v13i2.15559","6","Include"
"Measuring Impact of Cloud Computing and Knowledge Management in Software Development and Innovation","For organizations, knowledge is a valuable intangible asset that should be obtained, preserved, shared, and applied to assist decision-making. Cloud computing and knowledge management systems bring together technology and organizational methods to help organizations manage their knowledge and enhance their performance. This work investigates how organizations adopt software development and distribution innovation models using ubiquitous computing more specifically cloud-based software services appraise knowledge management (KM) practices. A combined hybrid research model has been developed using extended Technology Acceptance Model (TAM) and Technology-Organization-Environment (TOE) with KM practices. Series of statistical results using structural equation modeling performed on data collected through an online survey from 983 professionals working in distributed software development (DSD) and innovation worldwide are used to put hypotheses to the test. The results of the study indicate that KM practices (knowledge accessibility, storage, application, and sharing) along with TOE (complexity, compatibility, relative advantage, security, privacy and trust, and reputation) have a substantial and positive impact on the adoption of cloud-based software services. Coordination and communication concerns are the backbones of successful practicing distributed development and innovation. Furthermore, results indicate acceptance of the moderating role of geographical (cultural) difference in examining the impact of KM practices and cloud services.","C. Gupta; J. M. Fernandez‐Crehuet; Varun Gupta","2022","Syst.","10.3390/systems10050151","17","Include"
"Competencies for Managing Activities in Agile Projects","-","José Romualdo da Costa Filho; Renato Penha; Luciano Ferreira da Da Silva; F. Bizarrias","2022","Global Journal of Flexible Systems Management","10.1007/s40171-022-00311-2","12","Include"
"Analytical Evaluation of SOA and SCRUM Business Process Management Approaches for IoT-Based Services Development","The SCRUM approach and Service-Oriented Architecture (SOA) framework are critical in assessing the factors that influence the efficiency of a business process and ensuring that business objectives are fulfilled, and the process is on track to meet those objectives. Flexibility and change adoption are critical features for both SCRUM and SOA approaches. Even though both sides encourage agility, the integration of the two independent concepts (SOA is the architectural framework while SCRUM is the development process) should be considered before being used in software management and development projects. This study assessed and analyzed both SCRUM and SOA’s diverse and different software architectural frameworks and development methodologies as well as their environment, which is integrated with the context of software project management and development setup for the software development industry. In addition, this study explores the similarities between the SCRUM process model and the SOA architectural framework to see if they are compatible and, if so, how they may be combined to enhance SOA-based projects. This research also looks at how to build and use a SCRUM methodology for large-scale SOA projects. As a result, SCRUM was chosen as the software development methodology for a research and development project based on SOA. In terms of project development and implementation, the complete project structure is made up of eight main parts.","Fahad H. Alshammari","2022","Scientific Programming","10.1155/2022/3556809","6","Include"
"A mapping study on documentation in Continuous Software Development","Context: With an increase in Agile, Lean, and DevOps software methodologies over the last years (collectively referred to as Continuous Software Development (CSD)), we have observed that documentation is often poor. Objective: This work aims at collecting studies on documentation challenges, documentation practices, and tools that can support documentation in CSD. Method: A systematic mapping study was conducted to identify and analyze research on documentation in CSD, covering publications between 2001 and 2019. Results: A total of 63 studies were selected. We found 40 studies related to documentation practices and challenges, and 23 studies related to tools used in CSD. The challenges include: informal documentation is hard to understand, documentation is considered as waste, productivity is measured by working software only, documentation is out-of-sync with the software and there is a short-term focus. The practices include: non-written and informal communication, the usage of development artifacts for documentation, and the use of architecture frameworks. We also made an inventory of numerous tools that can be used for documentation purposes in CSD. Overall, we recommend the usage of executable documentation, modern tools and technologies to retrieve information and transform it into documentation, and the practice of minimal documentation upfront combined with detailed design for knowledge transfer afterwards. Conclusion: It is of paramount importance to increase the quantity and quality of documentation in CSD. While this remains challenging, practitioners will benefit from applying the identified practices and tools in order to mitigate the stated challenges.","T. Theunissen; U. V. Heesch; P. Avgeriou","2022","Information and Software Technology","10.1016/j.infsof.2021.106733","26","Include"
"Tags’ Recommender to Classify Architectural Knowledge Applying Language Models","Agile global software engineering challenges architectural knowledge (AK) management since face-to-face interactions are preferred over comprehensive documentation, which causes AK loss over time. The AK condensation concept was proposed to reduce AK losing, using the AK shared through unstructured electronic media. A crucial part of this concept is a classification mechanism to ease AK recovery in the future. We developed a Slack complement as a classification mechanism based on social tagging, which recommends tags according to a chat/message topic, using natural language processing (NLP) techniques. We evaluated two tagging modes: NLP-assisted versus alphabetical auto-completion, in terms of correctness and time to select a tag. Fifty-two participants used the complement emulating an agile and global scenario and gave us their complement’s perceptions about usefulness, ease of use, and work integration. Messages tagged through NLP recommendations showed fewer semantic errors, and participants spent less time selecting a tag. They perceived the component as very usable, useful, and easy to be integrated into the daily work. These results indicated that a tag recommendation system is necessary to classify the shared AK accurately and quickly. We will improve the NLP techniques to evaluate AK condensation in a long-term test as future work.","Gilberto Borrego; Samuel González-López; Ramón R. Palacio","2022","Mathematics","10.3390/math10030446","2","Include"
"A Decentralized Framework for Managing Task Allocation in Distributed Software Engineering","In distributed software development, planning and managing fair and transparent task allocation is both critical and challenging. The objective of this paper is to propose a decentralized blockchain-oriented, transparent task allocation framework to improve the quality of the task allocation process. It addresses the concerns of (i) enhancing collaboration, (ii) inhibiting knowledge vaporization, and (iii) reducing documentation problems. The proposed method is a novel two-fold process: First, it identifies and categorizes tasks exhibiting different dependencies and complexities to create equal task clusters based on their dependency type, difficulty, cost, and time. Second, it uses a blockchain-oriented framework to broadcast, check bid validity, allow developers to bid on tasks matching their roles and expertise, evaluate, and announce the winner for task allocation using smart contracts. Results of experimentation, surveys, and interviews with software practitioners conclude that the proposed solution is transparent and effective in allocating tasks (with Cranach’s alpha of 0.894) at a low cost of contract execution in a distributed software development environment. Overall, the proposed approach will have a positive and significant impact in industrial settings.","C. Gupta; Varun Gupta","2021","Applied Sciences","10.3390/app112210633","6","Include"
"Towards aspect based requirements mining for trace retrieval of component-based software management process in globally distributed environment","-","Sadia Ali; Y. Hafeez; M. Humayun; Noor Zaman Jhanjhi; Dac-Nhuong Le","2021","Journal of Special Topics in Information Technology and Management","10.1007/s10799-021-00343-7","9","Include"
"Understanding the Impact of Development Efforts in Code Quality","Today, there is no company that does not attempt to control or assure software quality in a greater or lesser extent. Software quality has been mainly studied from the perspectives of the software product and the software process. However, there is no thorough research about how code quality is affected by the software development projects’ contexts. This study analyses how the evolution of the development effort (i.e., the number of developers and their contributions) influences the code quality (i.e., the number of bugs, code smells, cloning, etc). This paper presents a multiple case study that analyses 13 open-source projects from GitHub and SonarCloud, and retrieves more than 95,000 commits and more than 25,000 quality measures. The insights are that more developers or higher number of commits does not necessary influence worse quality levels. After applying a clustering algorithm, it is detected an inverse correlation in some cases where specific efforts were made to improve code quality. The size of commits and the relative weight of developers in their teams might also affect measures like complexity or cloning. Project managers can therefore understand the mentioned relationships and consequently make better decisions based on the information retrieved from code repositories.","Ricardo Pérez-Castillo; M. Piattini","2021","Journal of universal computer science (Online)","10.3897/jucs.72475","-","Include"
"Synthesizing researches on Knowledge Management and Agile Software Development using the Meta-ethnography method","Abstract Context: Software development processes are considered as knowledge intensive and therefore Knowledge Management (KM) can be applied to efficiently manage the knowledge generated. Agile practices can benefit software organizations in terms of KM. Some studies have already presented evidence about this relationship. However, the intersection of these two areas still requires further clarification. Objective: This study synthesizes research on KM and Agile Software Development (ASD) using the meta-ethnography method considering Scrum and XP frameworks. Method: In order to achieve the proposed goal, first, a diagnostic was conducted in different project domains with agile and traditional software development in order to identify the performance of KM activities. Second, the phases of the meta-ethnography analysis method were applied in a set of studies selected from a tertiary review on KM and ASD, as well as classic guides and area references. Finally, the relationships that were identified among the areas investigated were analyzed from interviews with agile development methodology experts. Results: The most common activity investigated between KM and ASD is knowledge sharing. However, in the practical view of software development companies, the attention is on how to use the generated knowledge. Conclusion: The clarification of how KM is present in each agile value, practices, and artifacts allows a reflection on how much knowledge was created, shared, and applied during ASD. Besides, such results presented in this study enable organizations to know each other better and to explore more each KM activity, thus contributing to delivering more value to the customer.","B. Napoleão; É. Souza; Glauco Antonio Ruiz; K. Felizardo; G. V. Meinerz; N. Vijaykumar","2021","Journal of Systems and Software","10.1016/j.jss.2021.110973","12","Include"
