oci,citing,cited,creation,timespan,journal_sc,author_sc
06010142131-061801206592,10.5753/sbsi_estendido.2025.246908,10.1109/ms.2011.92,2025-05-19,P13Y2M,no,no
062301003490-061801206592,10.1007/s11219-016-9319-5,10.1109/ms.2011.92,2016-06-01,P4Y3M,no,no
062102518898-061801206592,10.1145/2797433.2797468,10.1109/ms.2011.92,2015-09-07,P3Y6M,no,no
061203116095-061801206592,10.1016/j.infsof.2017.10.013,10.1109/ms.2011.92,2018-03,P6Y0M,no,no
061502304115-061801206592,10.1145/3319008.3319358,10.1109/ms.2011.92,2019-04-15,P7Y1M,no,no
06902364361-061801206592,10.1145/3195612.3195620,10.1109/ms.2011.92,2018,P5Y,no,no
06502979815-061801206592,10.1145/2652524.2652582,10.1109/ms.2011.92,2014,P1Y,no,no
06202968401-061801206592,10.1109/icmit.2014.6942419,10.1109/ms.2011.92,2014-09,P2Y6M,no,no
0606838201-061801206592,10.5753/sbqs_estendido.2024.244814,10.1109/ms.2011.92,2024-11-05,P12Y8M,no,no
0605072930-061801206592,10.1109/ubmk63289.2024.10773510,10.1109/ms.2011.92,2024-10-26,P12Y7M,no,no
061903488811-061801206592,10.1007/978-3-031-10873-0_17,10.1109/ms.2011.92,2022,P9Y,no,no
06260864394-061801206592,10.3233/ip-180117,10.1109/ms.2011.92,2020-03-23,P8Y0M,no,no
06010953411-061801206592,10.4018/979-8-3373-0071-9.ch005,10.1109/ms.2011.92,2025-04-25,P13Y1M,no,no
061403550665-061801206592,10.1145/3564721.3564743,10.1109/ms.2011.92,2022-11-17,P10Y8M,no,no
061504137701-061801206592,10.1016/j.infsof.2023.107364,10.1109/ms.2011.92,2024-03,P12Y0M,no,no
061902463012-061801206592,10.1109/icse-seip.2017.20,10.1109/ms.2011.92,2017-05,P5Y2M,no,no
06202089882-061801206592,10.1109/icstw50294.2020.00071,10.1109/ms.2011.92,2020-10,P8Y7M,no,no
061102925353-061801206592,10.18260/1-2--36634,10.1109/ms.2011.92,,,no,no
0630593946-061801206592,10.1016/j.jss.2015.10.051,10.1109/ms.2011.92,2016-03,P4Y0M,no,no
061903488807-061801206592,10.1007/978-3-031-10873-0_6,10.1109/ms.2011.92,2018,P5Y,no,no
061902332944-061801206592,10.1145/3220228.3220259,10.1109/ms.2011.92,2018-04-20,P6Y1M,no,no
061103131093-061801206592,10.1016/j.infsof.2022.106908,10.1109/ms.2011.92,2022-07,P10Y4M,no,yes
06702443277-061801206592,10.1007/978-3-030-32489-6_18,10.1109/ms.2011.92,2020,P7Y,no,no
06804648967-061801206592,10.1109/ice/itmc58018.2023.10332283,10.1109/ms.2011.92,2023-06-19,P11Y3M,no,no
06302719107-061801206592,10.1109/icaset.2018.8376929,10.1109/ms.2011.92,2018-02,P5Y11M,no,no
061804008370-061801206592,10.1007/978-3-031-39386-0_14,10.1109/ms.2011.92,2023,P10Y,no,no
061903488814-061801206592,10.1007/978-3-031-10873-0_5,10.1109/ms.2011.92,2022,P9Y,no,no
06202820484-061801206592,10.1186/s40309-022-00196-5,10.1109/ms.2011.92,2022-04-25,P10Y1M,no,no
06202708851-061801206592,10.1145/3233027.3233028,10.1109/ms.2011.92,2018-09-10,P6Y6M,no,no
061304217392-061801206592,10.47172/2965-730x.sdgsreview.v4.n04.pe03616,10.1109/ms.2011.92,2024-11-25,P12Y8M,no,no
0608744536-061801206592,10.1007/978-981-96-3452-1_15,10.1109/ms.2011.92,2025,P12Y,no,no
061401030725-061801206592,10.1007/s10664-015-9410-8,10.1109/ms.2011.92,2015-11-09,P3Y8M,no,no
061702520054-061801206592,10.1109/re.2015.7320462,10.1109/ms.2011.92,2015-08,P3Y5M,no,no
06503353569-061801206592,10.1109/empire.2013.6615209,10.1109/ms.2011.92,2013-07,P1Y4M,no,no
06280467202-061801206592,10.1007/978-3-662-69306-3_3,10.1109/ms.2011.92,2024,P11Y,no,no
061602284912-061801206592,10.1109/seaa.2019.00047,10.1109/ms.2011.92,2019-08,P7Y5M,no,no
061701212738-061801206592,10.1109/ms.2020.2994306,10.1109/ms.2011.92,2021-01,P8Y10M,yes,no
06302954987-061801206592,10.1109/fie.2014.7044385,10.1109/ms.2011.92,2014-10,P2Y7M,no,no
061903488810-061801206592,10.1007/978-3-031-10873-0_3,10.1109/ms.2011.92,2013,P0Y,no,no
06603346740-061801206592,10.1109/qsic.2013.40,10.1109/ms.2011.92,2013-07,P1Y4M,no,no
061503148247-061801206592,10.1177/8756972818781630,10.1109/ms.2011.92,2018-07-17,P6Y4M,no,no
06401880617-061801206592,10.1145/3084226.3084279,10.1109/ms.2011.92,2017-06-15,P5Y3M,no,no
061802963668-061801206592,10.1109/empire.2012.6347680,10.1109/ms.2011.92,2012-09,P0Y6M,no,no
06103013620-061801206592,10.1007/978-3-319-26844-6_3,10.1109/ms.2011.92,2015,P2Y,no,no
06401538475-061801206592,10.1371/journal.pone.0090302,10.1109/ms.2011.92,2014-03-14,P2Y0M,no,no
061903488802-061801206592,10.1007/978-3-031-10873-0_2,10.1109/ms.2011.92,2012,P0Y,no,no
06403315015-061801206592,10.1145/2593690.2593696,10.1109/ms.2011.92,2014,P1Y,no,no
06401793248-061801206592,10.1145/3421254,10.1109/ms.2011.92,2020-12-31,P8Y9M,no,no
062502435000-061801206592,10.1007/978-3-319-31545-4_12,10.1109/ms.2011.92,2016,P3Y,no,no
06601357278-061801206592,10.1002/smr.2372,10.1109/ms.2011.92,2021-07-29,P9Y4M,no,no
061102373405-061801206592,10.4018/978-1-6684-3702-5.ch079,10.1109/ms.2011.92,2022,P9Y,no,no
061701213450-061801206592,10.1109/ms.2013.94,10.1109/ms.2011.92,2013-09,P1Y6M,yes,no
06802462732-061801206592,10.16972/apjbve.13.1.201802.105,10.1109/ms.2011.92,2018-02,P5Y11M,no,no
061203428067-061801206592,10.1007/978-3-031-14343-4_18,10.1109/ms.2011.92,2022,P9Y,no,no
062304374888-061801206592,10.1145/3646548.3676597,10.1109/ms.2011.92,2024-09-02,P12Y6M,no,no
062604295730-061801206592,10.1002/smr.2668,10.1109/ms.2011.92,2024-04-11,P12Y1M,no,no
0604886538-061801206592,10.1007/978-981-97-5944-6_5,10.1109/ms.2011.92,2024,P11Y,no,no
061903488803-061801206592,10.1007/978-3-031-10873-0_18,10.1109/ms.2011.92,2021,P8Y,no,no
061903488804-061801206592,10.1007/978-3-031-10873-0_12,10.1109/ms.2011.92,2019,P6Y,no,no
061801973822-061801206592,10.1007/s13132-021-00846-2,10.1109/ms.2011.92,2021-11-05,P9Y8M,no,no
061903488808-061801206592,10.1007/978-3-031-10873-0_4,10.1109/ms.2011.92,2021,P8Y,no,no
061903488801-061801206592,10.1007/978-3-031-10873-0_16,10.1109/ms.2011.92,2017,P4Y,no,no
062204386277-061801206592,10.4018/979-8-3693-1467-8.ch007,10.1109/ms.2011.92,2024-06-21,P12Y3M,no,no
061604350164-061801206592,10.1109/mipro60963.2024.10569687,10.1109/ms.2011.92,2024-05-20,P12Y2M,no,no
06202061722-061801206592,10.1109/seaa51224.2020.00053,10.1109/ms.2011.92,2020-08,P8Y5M,no,no
061703872261-061801206592,10.1016/j.infsof.2022.107135,10.1109/ms.2011.92,2023-04,P11Y1M,no,no
0609769740-061801206592,10.1109/icse-seis66351.2025.00021,10.1109/ms.2011.92,2025-04-27,P13Y1M,no,no
061401030364-061801206592,10.1007/s10664-020-09803-0,10.1109/ms.2011.92,2020-03-05,P8Y0M,no,no
0639073397-061801206592,10.1016/j.procs.2023.01.458,10.1109/ms.2011.92,2023,P10Y,no,no
061603455732-061801206592,10.1007/s10639-022-11276-1,10.1109/ms.2011.92,2022-08-15,P10Y5M,no,no
061903488812-061801206592,10.1007/978-3-031-10873-0_14,10.1109/ms.2011.92,2020,P7Y,no,no
06401793340-061801206592,10.1145/3088440,10.1109/ms.2011.92,2017-12-06,P5Y9M,no,no
061103131306-061801206592,10.1016/j.infsof.2020.106473,10.1109/ms.2011.92,2021-04,P9Y1M,no,no
06701878780-061801206592,10.4018/978-1-7998-3476-2.ch028,10.1109/ms.2011.92,2021,P8Y,no,no
061903488800-061801206592,10.1007/978-3-031-10873-0_8,10.1109/ms.2011.92,2019,P6Y,no,no
06501193952-061801206592,10.1080/10598650.2020.1842046,10.1109/ms.2011.92,2021-01-02,P8Y10M,no,no
06602606433-061801206592,10.1177/0950422218785826,10.1109/ms.2011.92,2018-07-10,P6Y4M,no,no
06202620463-061801206592,10.1007/978-3-319-60255-4_4,10.1109/ms.2011.92,2017-08-23,P5Y5M,no,no
0660456987-061801206592,10.1080/17543266.2018.1467500,10.1109/ms.2011.92,2018-04-26,P6Y1M,no,no
061903488806-061801206592,10.1007/978-3-031-10873-0_11,10.1109/ms.2011.92,2019,P6Y,no,no
061903488815-061801206592,10.1007/978-3-031-10873-0_1,10.1109/ms.2011.92,2022,P9Y,no,no
062102553288-061801206592,10.1145/3464327.3464367,10.1109/ms.2011.92,2021-06,P9Y3M,no,no
