oci,citing,cited,creation,timespan,journal_sc,author_sc
06340415812-0652046544,10.1007/978-3-031-31642-5_3,10.1108/09593840210453115,2023,P20Y,no,no
0690914382-0652046544,10.1080/15228053.2017.1338072,10.1108/09593840210453115,2017-04-03,P14Y4M2D,no,no
062503447595-0652046544,10.1002/asi.24711,10.1108/09593840210453115,2022-09-17,P19Y9M16D,no,no
06301704372-0652046544,10.1002/aris.2007.1440410121,10.1108/09593840210453115,2007,P4Y,no,no
06180557683-0652046544,10.1080/0960085x.2020.1721947,10.1108/09593840210453115,2020-01-02,P17Y1M1D,no,no
061202970375-0652046544,10.4018/978-1-4666-2542-6.ch002,10.1108/09593840210453115,2013,P10Y,no,no
06180558120-0652046544,10.1057/ejis.2009.34,10.1108/09593840210453115,2009-10,P6Y10M,no,no
062604325241-0652046544,10.1007/s10796-023-10451-0,10.1108/09593840210453115,,,no,no
061602533194-0652046544,10.1109/hicss.2015.497,10.1108/09593840210453115,2015-01,P12Y1M,no,no
061803901635-0652046544,10.1177/02683962221141456,10.1108/09593840210453115,2023-01-19,P20Y1M18D,no,no
0652046419-0652046544,10.1108/09593840510633329,10.1108/09593840210453115,2005-12-01,P3Y0M0D,yes,no
06402856510-0652046544,10.1007/978-3-319-29269-4_8,10.1108/09593840210453115,2016,P13Y,no,no
061703001818-0652046544,10.1109/hicss.2012.565,10.1108/09593840210453115,2012-01,P9Y1M,no,no
06602955302-0652046544,10.4018/978-1-4666-7473-8.ch002,10.1108/09593840210453115,2015,P12Y,no,no
061801193512-0652046544,10.1177/0306312707077366,10.1108/09593840210453115,2008-02,P5Y2M,no,no
061602535186-0652046544,10.1109/rcose.2015.13,10.1108/09593840210453115,2015-05,P12Y5M,no,no
061103155315-0652046544,10.4018/978-1-60960-472-1.ch711,10.1108/09593840210453115,2011,P8Y,no,no
061501191260-0652046544,10.1177/0899764014546488,10.1108/09593840210453115,2014-09-07,P11Y9M6D,no,no
062503119118-0652046544,10.1007/978-0-387-36060-7_18,10.1108/09593840210453115,,,no,no
061103155014-0652046544,10.4018/978-1-60960-521-6.ch010,10.1108/09593840210453115,2011,P8Y,no,no
06180557942-0652046544,10.1057/ejis.2012.35,10.1108/09593840210453115,2013-07,P10Y7M,no,no
062403135472-0652046544,10.4018/978-1-60566-356-2.ch039,10.1108/09593840210453115,2009,P6Y,no,no
061704225186-0652046544,10.6087/kcse.335,10.1108/09593840210453115,2024-06-26,P21Y6M25D,no,no
061903314716-0652046544,10.1007/1-4020-8095-6_19,10.1108/09593840210453115,2004,P1Y,no,no
0670315127-0652046544,10.2139/ssrn.946402,10.1108/09593840210453115,2006,P3Y,no,no
061801661044-0652046544,10.1111/j.1365-2575.2008.00297.x,10.1108/09593840210453115,2009-01,P6Y1M,no,no
061703312827-0652046544,10.1007/0-387-25590-7_4,10.1108/09593840210453115,,,no,no
06403315251-0652046544,10.1145/2593850.2593858,10.1108/09593840210453115,2014,P11Y,no,no
06180558084-0652046544,10.1057/ejis.2010.18,10.1108/09593840210453115,2010-06,P7Y6M,no,no
06260526037-0652046544,10.1108/ecam-12-2014-0161,10.1108/09593840210453115,2016-01-18,P13Y1M17D,no,no
06703066007-0652046544,10.1201/b16768-28,10.1108/09593840210453115,2014-05,P11Y5M,no,no
06190189354-0652046544,10.1002/spip.407,10.1108/09593840210453115,2009-03,P6Y3M,no,no
0690850930-0652046544,10.1016/j.ijpe.2012.12.018,10.1108/09593840210453115,2013-12,P11Y0M,no,no
061903999074-0652046544,10.1007/s10257-022-00620-0,10.1108/09593840210453115,2023-02-28,P20Y2M27D,no,no
06903224405-0652046544,10.1145/1593254.1593295,10.1108/09593840210453115,2009,P6Y,no,no
061203115968-0652046544,10.1016/j.infsof.2018.08.008,10.1108/09593840210453115,2019-01,P16Y1M,no,no
06220306611-0652046544,10.2139/ssrn.945321,10.1108/09593840210453115,2006,P3Y,no,no
06601948193-0652046544,10.4018/978-1-4666-5888-2.ch086,10.1108/09593840210453115,2015,P12Y,no,no
062502713173-0652046544,10.1007/s11576-010-0238-y,10.1108/09593840210453115,2010-08-31,P7Y8M30D,no,no
06260622902-0652046544,10.1007/s10257-012-0199-3,10.1108/09593840210453115,2012-09-23,P9Y9M22D,no,no
06201620701-0652046544,10.1177/0030727016675693,10.1108/09593840210453115,2016-11-29,P13Y11M28D,no,no
061701797906-0652046544,10.1108/17410390810904283,10.1108/09593840210453115,2008-09-26,P5Y9M25D,no,no
06120498448-0652046544,10.1016/j.respol.2013.08.004,10.1108/09593840210453115,2014-02,P11Y2M,no,no
061301340191-0652046544,10.1109/tem.2008.2005547,10.1108/09593840210453115,2008-11,P5Y11M,no,no
062503334893-0652046544,10.1109/hicss.2006.350,10.1108/09593840210453115,2006,P3Y,no,no
061603314964-0652046544,10.1007/1-4020-8000-x_8,10.1108/09593840210453115,,,no,no
06404347453-0652046544,10.1080/0960085x.2022.2126030,10.1108/09593840210453115,2023-01-02,P20Y1M1D,no,no
062601732530-0652046544,10.1007/s13437-020-00224-w,10.1108/09593840210453115,2021-01-11,P18Y1M10D,no,no
061401773547-0652046544,10.1108/ijmpb-11-2015-0107,10.1108/09593840210453115,2016-09-05,P13Y9M4D,no,no
06170308279-0652046544,10.2139/ssrn.1839832,10.1108/09593840210453115,2011,P8Y,no,no
06180557893-0652046544,10.1057/ejis.2013.13,10.1108/09593840210453115,2014-07,P11Y7M,no,no
062403469278-0652046544,10.1007/978-3-031-13314-5_3,10.1108/09593840210453115,2022-10-13,P19Y10M12D,no,no
06130199209-0652046544,10.1080/09669582.2020.1838530,10.1108/09593840210453115,2020-11-04,P17Y11M3D,no,no
062203056522-0652046544,10.1007/978-3-642-12113-5_10,10.1108/09593840210453115,2010,P7Y,no,no
06103553451-0652046544,10.1007/978-0-387-73947-2_22,10.1108/09593840210453115,,,no,no
0620817178-0652046544,10.1057/jit.2016.5,10.1108/09593840210453115,2017-06,P14Y6M,no,no
06303513126-0652046544,10.1007/b137171_46,10.1108/09593840210453115,2009,P6Y,no,no
0630638547-0652046544,10.1080/0144929x.2016.1225818,10.1108/09593840210453115,2016-09-08,P13Y9M7D,no,no
0607500803-0652046544,10.1007/978-3-031-71769-7_15,10.1108/09593840210453115,2024,P21Y,no,no
06201132594-0652046544,10.1016/j.destud.2021.101063,10.1108/09593840210453115,2022-01,P19Y1M,no,no
061703141496-0652046544,10.1007/s11213-021-09556-x,10.1108/09593840210453115,2021-01-27,P18Y1M26D,no,no
06702083275-0652046544,10.1145/3394231.3397896,10.1108/09593840210453115,2020-06-23,P17Y6M22D,no,no
061803059258-0652046544,10.1007/978-0-387-87503-3_4,10.1108/09593840210453115,2008,P5Y,no,no
061602946141-0652046544,10.1109/rcis.2013.6577725,10.1108/09593840210453115,2013-05,P10Y5M,no,no
06101489547-0652046544,10.1080/2573234x.2020.1740616,10.1108/09593840210453115,2020-01-02,P17Y1M1D,no,no
06903131192-0652046544,10.1007/978-0-387-72804-9_13,10.1108/09593840210453115,,,no,no
06350599202-0652046544,10.1109/seb4sdg60871.2024.10630013,10.1108/09593840210453115,2024-04-02,P21Y4M1D,no,no
062103266432-0652046544,10.1109/icsea.2006.261284,10.1108/09593840210453115,2006-10,P3Y10M,no,no
06702697740-0652046544,10.1145/3195836.3195856,10.1108/09593840210453115,2018-05-27,P15Y5M26D,no,no
06150907832-0652046544,10.1108/17506161311308160,10.1108/09593840210453115,2013-03-15,P10Y3M14D,no,no
061403917015-0652046544,10.1109/mc.2022.3206032,10.1108/09593840210453115,2023-06,P20Y6M,no,no
061201338900-0652046544,10.1109/tem.2019.2931147,10.1108/09593840210453115,2021-02,P18Y2M,no,no
06803676159-0652046544,10.1109/icdim.2007.369222,10.1108/09593840210453115,2007-04,P4Y4M,no,no
062301965300-0652046544,10.1109/tse.2009.33,10.1108/09593840210453115,2009-09,P6Y9M,no,no
06240301379-0652046544,10.2139/ssrn.2866909,10.1108/09593840210453115,2016,P13Y,no,no
062301003529-0652046544,10.1007/s11219-015-9278-2,10.1108/09593840210453115,2015-05-07,P12Y5M6D,no,no
062401960862-0652046544,10.1108/md-07-2016-0460,10.1108/09593840210453115,2017-11-20,P14Y11M19D,no,no
06902412897-0652046544,10.1007/978-3-319-59144-5_25,10.1108/09593840210453115,2017,P14Y,no,no
06401112132-0652046544,10.1142/s0219649219500187,10.1108/09593840210453115,2019-06,P16Y6M,no,no
061902463012-0652046544,10.1109/icse-seip.2017.20,10.1108/09593840210453115,2017-05,P14Y5M,no,no
062203120456-0652046544,10.1007/s10009-013-0275-0,10.1108/09593840210453115,2013-04-13,P10Y4M12D,no,no
0630972408-0652046544,10.1002/spip.419,10.1108/09593840210453115,2009-05-14,P6Y5M13D,no,no
06203440946-0652046544,10.4018/jicthd.2013070105,10.1108/09593840210453115,2013-07-01,P10Y7M0D,no,no
061703286375-0652046544,10.1109/hicss.2007.53,10.1108/09593840210453115,2007-01,P4Y1M,no,no
061801660937-0652046544,10.1111/j.1365-2575.2007.00267.x,10.1108/09593840210453115,2008-05,P5Y5M,no,no
06901370634-0652046544,10.4018/jitbag.2011010102,10.1108/09593840210453115,2011-01,P8Y1M,no,no
06190189362-0652046544,10.1002/spip.390,10.1108/09593840210453115,2008-09,P5Y9M,no,no
0640816194-0652046544,10.1080/0268396032000122150,10.1108/09593840210453115,2003-09,P0Y9M,no,no
061302619823-0652046544,10.1016/j.infoandorg.2006.08.001,10.1108/09593840210453115,2006-01,P3Y1M,no,no
061801206621-0652046544,10.1109/ms.2011.49,10.1108/09593840210453115,2011-07,P8Y7M,no,no
062403137485-0652046544,10.1109/hicss.2009.96,10.1108/09593840210453115,2009,P6Y,no,no
061502626801-0652046544,10.1007/978-1-4471-6720-4_7,10.1108/09593840210453115,2015,P12Y,no,no
062102505156-0652046544,10.1145/2838739.2838764,10.1108/09593840210453115,2015-12-07,P13Y0M6D,no,no
062103293971-0652046544,10.1016/j.ijmedinf.2010.09.010,10.1108/09593840210453115,2011-08,P8Y8M,no,no
06190560202-0652046544,10.1057/palgrave.ejis.3000596,10.1108/09593840210453115,2006-02,P3Y2M,no,no
061502947341-0652046544,10.4018/978-1-4666-4153-2.ch043,10.1108/09593840210453115,2013,P10Y,no,no
062102234210-0652046544,10.1007/978-3-319-68059-0_11,10.1108/09593840210453115,2017,P14Y,no,no
061601554604-0652046544,10.1108/jbim-02-2015-0030,10.1108/09593840210453115,2016-08-01,P13Y8M0D,no,no
06180557635-0652046544,10.1080/0960085x.2020.1832867,10.1108/09593840210453115,2020-10-11,P17Y10M10D,no,no
062503119105-0652046544,10.1007/978-0-387-36060-7_14,10.1108/09593840210453115,,,no,no
061601042335-0652046544,10.1007/s10664-007-9057-1,10.1108/09593840210453115,2007-12-18,P5Y0M17D,no,no
06301244566-0652046544,10.17660/actahortic.2018.1225.47,10.1108/09593840210453115,2018-11,P15Y11M,no,no
0637040213-0652046544,10.1080/14623940701816691,10.1108/09593840210453115,2008-02,P5Y2M,no,no
062302664437-0652046544,10.1007/978-3-319-04090-5_7,10.1108/09593840210453115,2013,P10Y,no,no
061301340176-0652046544,10.1109/tem.2009.2013829,10.1108/09593840210453115,2009-11,P6Y11M,no,no
0630204211-0652046544,10.1177/1460458219833099,10.1108/09593840210453115,2019-03-19,P16Y3M18D,no,no
062501029600-0652046544,10.1016/j.accinf.2011.06.004,10.1108/09593840210453115,2013-06,P10Y6M,no,no
061703598357-0652046544,10.1002/smr.452,10.1108/09593840210453115,,,no,no
061502641540-0652046544,10.1007/978-3-319-11283-1_3,10.1108/09593840210453115,2014,P11Y,no,no
062503119102-0652046544,10.1007/978-0-387-36060-7_8,10.1108/09593840210453115,,,no,no
0620914394-0652046544,10.1145/1082983.1083179,10.1108/09593840210453115,2005-07,P2Y7M,no,no
061703312842-0652046544,10.1007/0-387-25590-7_5,10.1108/09593840210453115,,,no,no
06703762579-0652046544,10.1109/hicss.2005.614,10.1108/09593840210453115,,,no,no
06160252233-0652046544,10.1016/j.compind.2014.12.005,10.1108/09593840210453115,2015-04,P12Y4M,no,no
061303108821-0652046544,10.1016/j.infsof.2003.12.004,10.1108/09593840210453115,2004-07,P1Y7M,no,no
06503449187-0652046544,10.1007/978-3-540-30181-3_12,10.1108/09593840210453115,2004,P1Y,no,no
0608568469-0652046544,10.7250/csimq.2025-42.03,10.1108/09593840210453115,2025-04-30,P22Y4M29D,no,no
06330382050-0652046544,10.1080/0960085x.2024.2314654,10.1108/09593840210453115,2024-02-26,P21Y2M25D,no,no
06502924965-0652046544,10.1109/hicss.2016.396,10.1108/09593840210453115,2016-01,P13Y1M,no,no
0652046372-0652046544,10.1108/09593840810860333,10.1108/09593840210453115,2008-02-29,P5Y2M28D,yes,no
06180557975-0652046544,10.1057/ejis.2011.54,10.1108/09593840210453115,2012-03,P9Y3M,no,no
06010566366-0652046544,10.1111/isj.12602,10.1108/09593840210453115,2025-05-28,P22Y5M27D,no,no
061601554230-0652046544,10.1108/jbim-01-2019-0042,10.1108/09593840210453115,2019-09-18,P16Y9M17D,no,no
06501935677-0652046544,10.1109/icgse.2016.27,10.1108/09593840210453115,2016-08,P13Y8M,no,no
062501898527-0652046544,10.1007/978-3-030-64884-8_9,10.1108/09593840210453115,2021,P18Y,no,no
06150305883-0652046544,10.2139/ssrn.2553349,10.1108/09593840210453115,2014,P11Y,no,no
06601499958-0652046544,10.1177/0162243911401633,10.1108/09593840210453115,2011-03-13,P8Y3M12D,no,no
061801661220-0652046544,10.1046/j.1365-2575.2003.00136.x,10.1108/09593840210453115,2003-01,P0Y1M,no,no
06103553454-0652046544,10.1007/978-0-387-73947-2_4,10.1108/09593840210453115,,,no,no
06180557984-0652046544,10.1057/ejis.2011.50,10.1108/09593840210453115,2012-03,P9Y3M,no,no
061703002072-0652046544,10.1109/hicss.2012.393,10.1108/09593840210453115,2012-01,P9Y1M,no,no
061203116802-0652046544,10.1016/j.infsof.2011.12.009,10.1108/09593840210453115,2012-05,P9Y5M,no,no
061903081078-0652046544,10.1108/jsit-10-2015-0074,10.1108/09593840210453115,2016-05-09,P13Y5M8D,no,no
06190189438-0652046544,10.1002/spip.309,10.1108/09593840210453115,2007,P4Y,no,no
06601357278-0652046544,10.1002/smr.2372,10.1108/09593840210453115,2021-07-29,P18Y7M28D,no,no
06140570135-0652046544,10.1088/1742-6596/1175/1/012079,10.1108/09593840210453115,2019-03,P16Y3M,no,no
06180557916-0652046544,10.1057/ejis.2012.56,10.1108/09593840210453115,2014-03,P11Y3M,no,no
06250761255-0652046544,10.1080/07421222.2017.1373003,10.1108/09593840210453115,2017-07-03,P14Y7M2D,no,no
062201284606-0652046544,10.25300/misq/2017/41.1.12,10.1108/09593840210453115,2017,P14Y,no,no
061103287093-0652046544,10.1109/indin.2006.275757,10.1108/09593840210453115,2006-08,P3Y8M,no,no
06180557794-0652046544,10.1057/s41303-016-0026-x,10.1108/09593840210453115,2017-01,P14Y1M,no,no
062503119113-0652046544,10.1007/978-0-387-36060-7_15,10.1108/09593840210453115,,,no,no
061403193360-0652046544,10.1109/itng.2009.134,10.1108/09593840210453115,2009,P6Y,no,no
061103017402-0652046544,10.1109/re.2011.6051641,10.1108/09593840210453115,2011-08,P8Y8M,no,no
06130297958-0652046544,10.4018/jismd.2012100105,10.1108/09593840210453115,2012-10-01,P9Y10M0D,no,no
062103173201-0652046544,10.1109/hicss.2010.280,10.1108/09593840210453115,2010,P7Y,no,no
061703312833-0652046544,10.1007/0-387-25590-7_7,10.1108/09593840210453115,,,no,no
06703396690-0652046544,10.4018/978-1-61350-456-7.ch214,10.1108/09593840210453115,,,no,no
061702958790-0652046544,10.1109/hicss.2013.34,10.1108/09593840210453115,2013-01,P10Y1M,no,no
06701694368-0652046544,10.1007/s12599-010-0119-3,10.1108/09593840210453115,2010-08-31,P7Y8M30D,no,no
0628084740-0652046544,10.1386/dbs_00048_1,10.1108/09593840210453115,2023-03-01,P20Y3M0D,no,no
062503332614-0652046544,10.1109/etfa.2005.1612749,10.1108/09593840210453115,,,no,no
061403002955-0652046544,10.1007/978-3-642-14874-3_2,10.1108/09593840210453115,2010,P7Y,no,no
061801206775-0652046544,10.1109/ms.2009.198,10.1108/09593840210453115,2010-07,P7Y7M,no,no
062501898117-0652046544,10.1007/978-3-030-64823-7_24,10.1108/09593840210453115,2020,P17Y,no,no
061102434609-0652046544,10.1007/978-3-319-33464-6_1,10.1108/09593840210453115,2016,P13Y,no,no
061402226733-0652046544,10.1007/978-3-319-50109-3_6,10.1108/09593840210453115,2016,P13Y,no,no
06903512287-0652046544,10.1109/tem.2020.3017051,10.1108/09593840210453115,2022-12,P20Y0M,no,no
0620817396-0652046544,10.1057/jit.2009.20,10.1108/09593840210453115,2010-03,P7Y3M,no,no
06602917377-0652046544,10.1109/hicss.2016.339,10.1108/09593840210453115,2016-01,P13Y1M,no,no
062403137319-0652046544,10.1109/hicss.2009.408,10.1108/09593840210453115,2009,P6Y,no,no
0652046284-0652046544,10.1108/itp-03-2013-0052,10.1108/09593840210453115,2013-05-31,P10Y5M30D,yes,no
061603280034-0652046544,10.1109/etfa.2006.355356,10.1108/09593840210453115,2006-09,P3Y9M,no,no
06180654798-0652046544,10.1109/tsc.2010.21,10.1108/09593840210453115,2010-04,P7Y4M,no,no
