Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"TIETZ‐SOKOLSKAYA, NICOLE; Walsh, Suzanne; ",Foundations of Practice: An Ethnographic Exploration of Software Documentation and its Cultural Implications for an Agile Startup,Ethnographic Praxis in Industry Conference Proceedings,2024,1,378-396,2024,Wiley Online Library
"Abdulkadir, Hajara; Buhari, Bello Alhaji; Umar, Abdulrahman; ","Investigating the Level of Experience in Using More Effective Software Design Tools for Enhancing Security among Federal College of Education, Gidan Madi Staff and Students",Journal of Computers and Digital Business,4,1,24-36,2025,
"Alves, Daniela dos Santos; Smek, Deivid José; Souza, Érica Ferreira de; Felizardo, Katia Romero; Vijaykumar, Nandamudi L; ",Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,Proceedings of the XXIII Brazilian Symposium on Software Quality,,,125-135,2024,
"Souza, Wesley; Silva, Williamson; Guedes, Gilleanes Thorwald Araujo; ",Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension,Proceedings of the 20th Brazilian Symposium on Information Systems,,,1-10,2024,
"Reese, Simon; ",The practitioner’s part in making a difference through organizational learning,The Learning Organization,26,1,113-116,2019,Emerald Publishing Limited
"Manko, Barbara A; ",The adaptability of Monday. com’s app-based software: Discover the company building a flexible business model that adapts to individual company needs,Journal of Information Technology Teaching Cases,12,2,156-162,2022,"SAGE Publications Sage UK: London, England"
"KLÉR, ANDREA JUHÁSZNÉ; ",What managers can learn from knowledge intensive technology startups?,Society and Economy,45,1,68-90,2023,
"Ngalim, Pascal Fomunyuy; ","Examining Relationships between a Technology Firm’s Value Innovation Achievements, Its Cognitive Diversity, Strategic Sensitivity, Agility, and Situational Leadership",,,,,2020,Colorado Technical University
"Seppi, Jeffrey S; ",Sustainability Predictors for Small Software as a Service Business,,,,,2021,University of the Cumberlands
"Noriega Niño de Guzman, Carlos Adolfo; Farfán Pimentel, Johnny Félix; ","El desarrollo organizacional en las empresas micro, pequeñas y medianas empresas (PYMEs): una revisión sistemática",Revista Impulso,5,9,204-220,2025,Universidad Privada Domingo Savio
"Yusr, Maha Mohammed; Mokhtar, Sany Sanuri Mohd; Salimon, Maruf Gbadebo; Fauzi, Waida Irani Mohd; ",How to enhance the success rate of new products in the market,International Journal of Business Innovation and Research,24,4,478-493,2021,Inderscience Publishers (IEL)
"Kesti, Joona; ",Tiedon jakaminen ja hallinta ketterässä organisaatiossa,Tampere: Tampereen yliopisto. Julkaistu: https://trepo. tuni. fi/bitstream/handle/10024/139943/KestiJoona. pdf,,,,2022,
"Yang, Qiongqiong; Zhou, Wei; ",English Online Learning Platform Based on Mobile Android App,"2022 Second International Conference on Advanced Technologies in Intelligent Control, Environment, Computing & Communication Engineering (ICATIECE)",,,1-5,2022,IEEE
"Lenberg, Per; Feldt, Robert; Gren, Lucas; Tengberg, Lars Göran Wallgren; Tidefors, Inga; Graziotin, Daniel; ",Qualitative software engineering research--reflections and guidelines,arXiv preprint arXiv:1712.08341,,,,2017,
"Souza, Wesley S; Silva, Williamson; Guedes, Gilleanes TA; ",Knowledge Management Diagnosis in Software Organizations,,,,,2024,
"Abdulkadir, Hajara; Buhari, Bello Alhaji; Umar, Abdulrahman; Bande, Abubakar Bashir; Bodinga, Jibril M; Bello, Muhammad; ","ASSESSING AWARENESS ON THE USE OF SOFTWARE DESIGN TOOLS AMONG STAFF AND STUDENTS IN FEDERAL COLLEGE OF EDUCATION, GIDAN MADI",,,,,,
"Gunasekar, Aishvarya; ",The Role of Business Domain Knowledge of Business Analysts in the Acquisition and Communication of Client Requirements in Information Systems Development (ISD) Projects,,,,,2021,Auckland University of Technology
"Mummadi, Sowrabh; ",Exploratory study of Overhead in Lean/Agile Software Development,,,,,2021,
"Babel, Angelica; ",Creating adaptive master Applied Mathematics graduates,,,,,2021,
"Emanuelsson, Elisabet; Szabo, Emese; ",Kompetensöverföring: Hur arbetar arbetsgivare med kompetensöverföring för att säkra kompetenser vid personalomsättning?,,,,,2020,
