Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Performance and stability Comparison of React and Flutter: Cross-platform Application Development","Application development is a very important aspect when it comes to business. From small-scale companies to Fortune Companies everyone has an application through which they are running their business whether it is a web-based application or Mobile Application. Now the Mobile market is majorly captured by two Operating systems Android and iOS. Initially, to develop an application for a single project for both Systems separately, companies need to hire separate developers. But ReactJs is a Cross-Platform Application development library and is used to create a frontend for applications. It is majorly used by Facebook, Instagram, Pinterest, etc. It is JavaScript Library. Now Google has also launched its pure cross-platform framework called Flutter. Flutter uses Dart programming language to run. An open-source framework created by Google in 2017 to create applications from a single codebase. This research paper presents the study and comparison of the two most famous cross-platform application development technologies. It starts by discussing the basic functions of the application development methodologies. Followed by, it contains a comparison of the performance of the applications developed by these technologies. After that Stability of applications made by the flutter and React Native is checked on different parameters. There is an implementation of an application using Flutter and React Native which will be used for performance analysis between two applications running Android and Web platforms","Kamal Kishore; Shanu Khare; Vaibhav Uniyal; Sahil Verma","2022","International Conference Control and Robots","10.1109/iccr56254.2022.9996039","14","Include"
"Agile Lifestyle of Development","An iterative technique to software development and management that facilitates teams delivering value to their customers rapidly and with fewer problems. Agile method is extensively used in different corporate industry level projects as a light development strategy that aims to meet the changing needs. Short-term repetitions are best used for successful product development. Conventional software development processes do not seem to be very effective in managing rapid change of needs. Aside from the benefits of Agile, criticism of the agile approach claims that it fails to identify structural and aesthetic issues and is therefore hesitant to offer minor decisions throughout the design process. Here, in the middle of this research paper, we try to identify the effects of a much better approach in terms of efficiency and pace to s consistent software development procedure within an organizational and cultural framework.","Ayushi; Damandeep Kaur; S. Sehgal","2022","International Conference Control and Robots","10.1109/iccr56254.2022.9996014","1","Include"
"Influencing factors on knowledge sharing in virtual teams","BACKGROUND: The importance of virtual work is growing. Especially in knowledge-intensive, dynamic and international sectors, virtual teams have become an ubiquitous work form, promising more flexibility and higher performance. To solve complex problems they have to share and assimilate knowledge, but it is difficult in virtual contexts to overcome social distance and to avoid communication issues. Knowledge sharing in virtual teams may be more prone to errors and take more time. OBJECTIVE: Current studies mainly consider a one-sided perspective, either focusing on technical or human influencing factors for effective knowledge sharing in virtual teams, but not on the interaction between these. This study addresses that gap by exploring success-critical factors for knowledge sharing by using the socio-technical systems-approach. METHODS: The database of the study consists of 26 in-depth interviews. The interviews were partially structured and based on the Critical Incident Technique. Using a deductive categorization scheme consisting of four main categories and 21 subcategories, the frequencies and overlaps of influencing factors on successful knowledge sharing in virtual teams were examined. RESULTS: Each critical incident reported included factors from all four main categories (technology, structure, people and task) with specific frequencies and connections. Structural influencing factors as well as technological factors are mentioned particularly frequently together. CONCLUSION: The results of the study underline the importance of an integrated socio-technical view on knowledge sharing in virtual teams. Technical and social factors need to be considered simultaneously. The findings can be used for designing and optimizing knowledge sharing processes in virtual teams.","Stephanie Tietz; K. Werner","2022","Work","10.3233/wor-211241","2","Include"
"The learning effect on organizational performance during a crisis: a serial mediation analysis with knowledge creation, storage and sharing","PurposeThe aim of this study is to investigate the serially mediating effect of knowledge management (KM) practices (namely, knowledge creation, storage and sharing) on the organizational learning (OL) and organizational performance (OP) relationships during a crisis.Design/methodology/approachBased on theories-of-action, knowledge-based and resource-based theories, this study proposed a sequential mediation model where OL underlying mechanisms through which KM practices have facilitated OP during the crisis. The sample dataset contains 440 responses collected from the managers of the software development companies in Pakistan. The authors used Hayes Process macro with SPSS to test the study hypotheses.FindingsThe results of the study reveal that knowledge creation, storage and sharing serially mediate the relationships between OL and OP. These findings strengthen the argument suggesting that OL plays the key role in KM that helps software companies to mend their performance in times of crisis.Originality/valueThis study contributes to the KM literature in two ways: (1) grounded on the study's proposed framework, organizations can improve and manage their businesses in times of crisis and (2) learn how to generate new knowledge in response to business crises.","U. Qadri; M. Ghani; Shumaila Bibi; A. Tahir; M. Farooq; Abdul Rauf Kashif","2021","European Journal of Management and Business Economics","10.1108/ejmbe-03-2021-0107","17","Include"
"Importance of Secure Software Development Processes and Tools for Developers","In this research paper of secure software systems, authors have discussed what the proper development process is when it comes to creating a secure software, which will be suited for developers and relevent stakeholders alike. Secure Software Development Process for Developers is of crucial importance for software engineers as more and more software-based devices are becoming commonly available, and cloud services are evolving which require for the software to be constantly connected to the internet. With this in mind, Secure Software Development needs to be transformed to something most developers can rely upon to make applied software safe and have the capability to mitigate against potential attacks by hackers. Furthermore, in this paper, existing Secure Software Development Process ideas and implementations are reviewed and investigated using the research paper pool available online. Thereafter, an approach is proposed to enhance the security aspect in software development process to resolve security issues. Lastly, the paper concludes with final remarks on practical implementation of security features in software development phases for production of secure and reliable software programs and systems.","Muhammad Danish Roshaidie; W. Liang; Calvin Goh Kai Jun; Kok Yew; Fatima-tuz-Zahra","2020","arXiv.org","10.48550/arxiv.2012.15153","5","Include"
"Risk Assessment, Threat Modeling and Security Testing in SDLC","The software development process is considered as one of the key guidelines in the creation of said software and this approach is necessary for providing a more efficient yet satisfactory output. Without separation of work into distinct stages, it may lead to many delays and inefficiency of the project process where this disorganization can directly affect the product quality and reliability. Moreover, with this methodology established as the standard for any project, there are bound to be missteps specifically in regard to the involvement of security due to the lack of awareness. Therefore, the aim of this research is to identify and elaborate the findings and understanding of the security integrated into the process of software development as well as the related individual roles in ensuring that this security is maintained. Through thorough analysis and review of literature, an effort has been made through this paper to showcase the correct processes and ways for securing the software development process. At the same time, certain issues that pertain to this subject have been discussed together with proposing appropriate solutions. Furthermore, in depth discussion is carried out regarding methods such as security testing, risk assessment, threat modeling and other techniques that are able to create a more secure environment and systematic approach in a software development process.","Alya Hannah; A. Kamal; Caryn Chuah; Yi-Chun Yen; Gan Jia; Hui","2020","arXiv.org","10.48550/arxiv.2012.07226","11","Include"
"Bureaucratic Corruptive Behavior: Causes And Motivation of State Civil Aparatures in Indonesia","The main problem in this study is that the Corruption Perception Index (CPI) is still high. This is 
because the corrupt behavior and motivation of the state apparatus still occurs in Indonesia. The purpose of this 
study is to determine the causes and motivations of corruption that have occurred in the Bandung area. This study 
uses interviews and data collection from speakers. Researchers discovered that corrupt behavior is caused by 
behavior in the work environment, motivated by the greed of individuals or groups in the bureaucracy. The results 
of the study concluded that corrupt behavior led to accustomed and massive action, making this an extraordinary 
behavior with the involvement of the community, business and the bureaucracy itself. The researchers recommends 
that the treatment be consistent with the short and medium term plans and the long term patterns, all of which 
depend on the government as a policy maker in tackling corruption, naturally by relevant stakeholders, both the 
community , business, the involvement of bureaucracy itself, including the involvement of non-governmental 
organizations in the fight against corruption. and other related settings.","Nanang Suparman","2020","International Journal of Psychosocial Rehabilitation","10.37200/ijpr/v24i4/pr201627","5","Include"
"A theoretical literature review on knowledge management framework","-","Villy Satria Praditha; M. Lubis","2024","PROCEEDINGS OF THE 6TH INTERNATIONAL CONFERENCE ON COMPUTING AND APPLIED INFORMATICS 2022","10.1063/5.0199320","-","Include"
"A Risk Management Framework for Large Scale Scrum using Metadata Outer Request Management Methodology","—Recently, most software projects became naturally Distributed Agile Development (DAD) projects. The main benefits of DAD projects are cost-saving and being close to markets due to their distributed nature, such as in large-scale Scrum (LeSS). Developing LeSS projects leads to the emergence of challenges in risk management, especially the team collaboration challenges, where there is no standardized process for teams to communicate collaboratively. Team collaboration and the knowledge sharing is a vital resource for a large Scrum team's success. Hence, finding a dynamic technique that facilitates team collaboration in the LeSS environment is necessary. This paper proposes a risk management framework for LeSS using outer metadata requests. The proposed framework manages the outer requests amongst the distributed team. Therefore, it avoids missing team collaboration, risks, and threats to project completion. It also contributes to exchanging team skills and experience. The proposed framework is evaluated by applying it to two different case studies for large-scale Scrum projects. The evaluation results are given. The evaluation proved the effectiveness of the proposed framework.","Rehab Adel; Hany Harb; Ayman Elshenawy","2022","International Journal of Advanced Computer Science and Applications","10.14569/ijacsa.2022.0130315","3","Include"
"Globally Renewable Energy Consumption Sources","Electricity consumption will be part of a large conversation about connected with international electricity demand in the next two decades. Renewable energy sources and climate change modify minimization and offer a good estimation for the technological, scientific, environmentally friendly, financial, and also societal aspects. This research is the extended version of the research presented in IGI global book Role of IoT in Green Energy Systems, 2015. A full assessment related to any profile minimization options will likely involve an evaluation of respective potential alongside minimization with the bargain with sustainable development as well as all associated risks and costs.","S. Saeed; Noor Zaman Jhanjhi; Memood Naqvi","2021","Advances in environmental engineering and green technologies book series","10.4018/978-1-7998-6709-8.ch014","-","Include"
"Analyzing the Relationship between Explicit Knowledge Sharing and Human Resource Performance Efficiency: Evaluating the Moderating Role of Trust","-","Qaiser S Khan; Dr. Yasir Kamal; Dr. Sonia Sethi; Azhar M. Khan; Dr. Mohib; Ullah; R. Ali","2021","-","-","-","Include"
"Towards Requirements Elicitation and Analysis Model for Distributed Audience","Requirement’s elicitation is a challenging activity and the most important activity for the software development process. Requirement elicitation is the process of gathering information from the user and stakeholders. By reviewing the literature review, there are many challenges involved in the elicitation process, i.e., lack of proper communication and knowledge transfer between software stakeholders. Most of the companies are moving towards a globally distributed environment. Some many problems and challenges occur due to temporal, geographic, and socio-cultural diversity among stakeholders. This study proposes a new approach to the requirements elicitation and analysis phase in a distributed environment with the knowledge management technique that improves the software development process. The purpose of the paper is to develop a distributed framework based on eliciting and analyzing the customer's requirements by implementing a knowledge management technique that efficiently handles and manages the resources of an organization. This study aims to improve the elicitation and analysis process by using knowledge management techniques in a distributed environment. Thus, this study improves software development architecture. The feasibility and effectiveness of the proposed approach were evaluated in an empirical study with encouraging results.","Muhammad Nadim; R. Latif; Khalid Hussain; Noor Zaman Jhanjhi; Mehedi Masud; Saleh Yahya Alyahyan; R. Habeeb","2021","Turkish Online Journal of Qualitative Inquiry","-","1","Include"
"A Framework for Software Customization in Global Software Development (GSD)","-","Muhammad Nadim; R. Latif; Khalid Hussain; Noor Zaman Jhanjhi; Mehedi Masud; Saleh Yahya; Alyahyan; M. Humayun; Saleh Yahya Alyahyan","2021","-","-","1","Include"
"Securing Software Systems: A Survey","<jats:p>This paper aims to discuss the standard guidelines of the development process of secure software and will give justification on different types and ways of the software development processes. Additionally, a survey is conducted, the aim of which is to observe user behavior towards software system usage, user attitude in terms of privacy and policy awareness, security and privacy concerns. This is followed by discussion on how to secure software systems in development stage.</jats:p>","Yong Weixiong","2020","-","10.36227/techrxiv.12319598","2","Include"
