Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
"NATURE MEDICINE","NAT MED","NATURE PORTFOLIO","1078-8956","1546-170X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","129,334","58.7","Q1","13.63","46.85"%,
"ANNALS OF ONCOLOGY","ANN ONCOL","ELSEVIER","0923-7534","1569-8041","ONCOLOGY","SCIE","64,018","56.7","Q1","7.74","49.15"%,
"CHEMICAL REVIEWS","CHEM REV","AMER CHEMICAL SOC","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY","SCIE","230,879","51.5","Q1","4.32","28.1"%,
"NATURE","NATURE","NATURE PORTFOLIO","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES","SCIE","912,993","50.5","Q1","11.3","34.17"%,
"Nature Reviews Methods Primers","NAT REV METHOD PRIME","SPRINGERNATURE","N/A","2662-8449","MULTIDISCIPLINARY SCIENCES","ESCI","4,517","50.1","Q1","8.18","6.72"%,
"Nature Energy","NAT ENERGY","NATURE PORTFOLIO","2058-7546","2058-7546","ENERGY & FUELS","SCIE","46,856","49.8","Q1","7.91","14.33"%,
"Nature Energy","NAT ENERGY","NATURE PORTFOLIO","2058-7546","2058-7546","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","46,856","49.8","Q1","7.91","14.33"%,
"Nature Reviews Earth & Environment","NAT REV EARTH ENV","SPRINGERNATURE","N/A","2662-138X","ENVIRONMENTAL SCIENCES","SCIE","8,330","49.7","Q1","5.01","0.64"%,
"Nature Reviews Earth & Environment","NAT REV EARTH ENV","SPRINGERNATURE","N/A","2662-138X","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","8,330","49.7","Q1","5.01","0.64"%,
"CANCER CELL","CANCER CELL","CELL PRESS","1535-6108","1878-3686","CELL BIOLOGY","SCIE","52,082","48.8","Q1","7.57","36.65"%,
"CANCER CELL","CANCER CELL","CELL PRESS","1535-6108","1878-3686","ONCOLOGY","SCIE","52,082","48.8","Q1","7.57","36.65"%,
"LANCET NEUROLOGY","LANCET NEUROL","ELSEVIER SCIENCE INC","1474-4422","1474-4465","CLINICAL NEUROLOGY","SCIE","47,609","46.6","Q1","11.31","8.17"%,
"Nature Reviews Gastroenterology & Hepatology","NAT REV GASTRO HEPAT","NATURE PORTFOLIO","1759-5045","1759-5053","GASTROENTEROLOGY & HEPATOLOGY","SCIE","26,759","46.4","Q1","8.14","4.35"%,
"REVIEWS OF MODERN PHYSICS","REV MOD PHYS","AMER PHYSICAL SOC","0034-6861","1539-0756","PHYSICS, MULTIDISCIPLINARY","SCIE","57,824","45.9","Q1","4.05","2.97"%,
"CELL","CELL","CELL PRESS","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","305,348","45.6","Q1","10.02","41.9"%,
"CELL","CELL","CELL PRESS","0092-8674","1097-4172","CELL BIOLOGY","SCIE","305,348","45.6","Q1","10.02","41.9"%,
"SCIENCE","SCIENCE","AMER ASSOC ADVANCEMENT SCIENCE","0036-8075","1095-9203","MULTIDISCIPLINARY SCIENCES","SCIE","763,418","44.8","Q1","9.9","4.35"%,
"Nature Reviews Physics","NAT REV PHYS","NATURE PORTFOLIO","N/A","2522-5820","PHYSICS, APPLIED","SCIE","8,136","44.8","Q1","2.78","3.52"%,
"Nature Reviews Physics","NAT REV PHYS","NATURE PORTFOLIO","N/A","2522-5820","PHYSICS, MULTIDISCIPLINARY","SCIE","8,136","44.8","Q1","2.78","3.52"%,
"Lancet Diabetes & Endocrinology","LANCET DIABETES ENDO","ELSEVIER SCIENCE INC","2213-8587","2213-8595","ENDOCRINOLOGY & METABOLISM","SCIE","19,598","44","Q1","8.59","11.49"%,
"eScience","ESCIENCE","KEAI PUBLISHING LTD","N/A","2667-1417","ELECTROCHEMISTRY","ESCI","3,833","42.9","Q1","6.65","97.81"%,
"eScience","ESCIENCE","KEAI PUBLISHING LTD","N/A","2667-1417","MATERIALS SCIENCE, MULTIDISCIPLINARY","ESCI","3,833","42.9","Q1","6.65","97.81"%,
"Nature Catalysis","NAT CATAL","NATURE PORTFOLIO","2520-1158","2520-1158","CHEMISTRY, PHYSICAL","SCIE","25,407","42.9","Q1","5.29","10.13"%,
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","LIPPINCOTT WILLIAMS & WILKINS","0732-183X","1527-7755","ONCOLOGY","SCIE","169,306","42.1","Q1","6.51","29.7"%,
"Nature Reviews Cardiology","NAT REV CARDIOL","NATURE PORTFOLIO","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","18,586","41.7","Q1","7.04","3.82"%,
"LANCET ONCOLOGY","LANCET ONCOL","ELSEVIER SCIENCE INC","1470-2045","1474-5488","ONCOLOGY","SCIE","72,766","41.6","Q1","9.69","11.21"%,
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","SPRINGERNATURE","2095-9907","2059-3635","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","29,883","40.8","Q1","4.42","99.57"%,
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","SPRINGERNATURE","2095-9907","2059-3635","CELL BIOLOGY","SCIE","29,883","40.8","Q1","4.42","99.57"%,
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","ROYAL SOC CHEMISTRY","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY","SCIE","174,780","40.4","Q1","3.16","26.2"%,
"NATURE REVIEWS GENETICS","NAT REV GENET","NATURE PORTFOLIO","1471-0056","1471-0064","GENETICS & HEREDITY","SCIE","40,777","39.1","Q1","5.78","5.63"%,
"Lancet Respiratory Medicine","LANCET RESP MED","ELSEVIER SCI LTD","2213-2600","N/A","CRITICAL CARE MEDICINE","SCIE","24,199","38.7","Q1","11.51","19.7"%,
"Lancet Respiratory Medicine","LANCET RESP MED","ELSEVIER SCI LTD","2213-2600","N/A","RESPIRATORY SYSTEM","SCIE","24,199","38.7","Q1","11.51","19.7"%,
"Joule","JOULE","CELL PRESS","2542-4351","2542-4351","CHEMISTRY, PHYSICAL","SCIE","38,089","38.6","Q1","4.41","20.09"%,
"Joule","JOULE","CELL PRESS","2542-4351","2542-4351","ENERGY & FUELS","SCIE","38,089","38.6","Q1","4.41","20.09"%,
"Joule","JOULE","CELL PRESS","2542-4351","2542-4351","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","38,089","38.6","Q1","4.41","20.09"%,
"EUROPEAN HEART JOURNAL","EUR HEART J","OXFORD UNIV PRESS","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","84,456","38.1","Q1","7.41","42.86"%,
"Nature Nanotechnology","NAT NANOTECHNOL","NATURE PORTFOLIO","1748-3387","1748-3395","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","76,148","38.1","Q1","5.15","11.6"%,
"Nature Nanotechnology","NAT NANOTECHNOL","NATURE PORTFOLIO","1748-3387","1748-3395","NANOSCIENCE & NANOTECHNOLOGY","SCIE","76,148","38.1","Q1","5.15","11.6"%,
"Nature Reviews Chemistry","NAT REV CHEM","NATURE PORTFOLIO","N/A","2397-3358","CHEMISTRY, MULTIDISCIPLINARY","SCIE","12,254","38.1","Q1","2.67","3.85"%,
"MMWR Surveillance Summaries","MMWR SURVEILL SUMM","CENTERS DISEASE CONTROL & PREVENTION","1545-8636","1545-8636","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,443","37.3","Q1","8.48","65.52"%,
"NATURE MATERIALS","NAT MATER","NATURE PORTFOLIO","1476-1122","1476-4660","CHEMISTRY, PHYSICAL","SCIE","108,039","37.2","Q1","6.44","10.78"%,
"NATURE MATERIALS","NAT MATER","NATURE PORTFOLIO","1476-1122","1476-4660","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","108,039","37.2","Q1","6.44","10.78"%,
"NATURE MATERIALS","NAT MATER","NATURE PORTFOLIO","1476-1122","1476-4660","PHYSICS, APPLIED","SCIE","108,039","37.2","Q1","6.44","10.78"%,
"NATURE MATERIALS","NAT MATER","NATURE PORTFOLIO","1476-1122","1476-4660","PHYSICS, CONDENSED MATTER","SCIE","108,039","37.2","Q1","6.44","10.78"%,
"LANCET INFECTIOUS DISEASES","LANCET INFECT DIS","ELSEVIER SCI LTD","1473-3099","1474-4457","INFECTIOUS DISEASES","SCIE","41,061","36.4","Q1","8.47","25.83"%,
"NATURE METHODS","NAT METHODS","NATURE PORTFOLIO","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS","SCIE","113,045","36.1","Q1","9.34","33.54"%,
"CIRCULATION","CIRCULATION","LIPPINCOTT WILLIAMS & WILKINS","0009-7322","1524-4539","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","173,879","35.6","Q1","8.42","27"%,
"CIRCULATION","CIRCULATION","LIPPINCOTT WILLIAMS & WILKINS","0009-7322","1524-4539","PERIPHERAL VASCULAR DISEASE","SCIE","173,879","35.6","Q1","8.42","27"%,
"ADVANCES IN PHYSICS","ADV PHYS","TAYLOR & FRANCIS LTD","0001-8732","1460-6976","PHYSICS, CONDENSED MATTER","SCIE","5,882","35","Q1","2.08","0"%,
"Nature Electronics","NAT ELECTRON","NATURE PORTFOLIO","2520-1131","2520-1131","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","15,284","34.5","Q1","7.42","12.17"%,
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","1553-877X","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","27,843","34.4","Q1","9.38","20.43"%,
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","1553-877X","TELECOMMUNICATIONS","SCIE","27,843","34.4","Q1","9.38","20.43"%,
"PROGRESS IN MATERIALS SCIENCE","PROG MATER SCI","PERGAMON-ELSEVIER SCIENCE LTD","0079-6425","1873-2208","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","29,846","33.6","Q1","2.39","15.67"%,
"Physiological Reviews","PHYSIOL REV","AMER PHYSIOLOGICAL SOC","0031-9333","1522-1210","PHYSIOLOGY","SCIE","36,968","33.4","Q1","4.84","13.51"%,
"Innovation","INNOVATION-AMSTERDAM","CELL PRESS","2666-6758","2666-6758","MULTIDISCIPLINARY SCIENCES","ESCI","5,344","33.2","Q1","4.51","88.21"%,
"NATURE BIOTECHNOLOGY","NAT BIOTECHNOL","NATURE PORTFOLIO","1087-0156","1546-1696","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","90,641","33.1","Q1","8.38","36.4"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","CHEMISTRY, MULTIDISCIPLINARY","SCIE","110,861","32.4","Q1","4.39","20.18"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","ENERGY & FUELS","SCIE","110,861","32.4","Q1","4.39","20.18"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","ENGINEERING, CHEMICAL","SCIE","110,861","32.4","Q1","4.39","20.18"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","ROYAL SOC CHEMISTRY","1754-5692","1754-5706","ENVIRONMENTAL SCIENCES","SCIE","110,861","32.4","Q1","4.39","20.18"%,
"Nature Photonics","NAT PHOTONICS","NATURE PORTFOLIO","1749-4885","1749-4893","OPTICS","SCIE","54,834","32.3","Q1","7.85","15.95"%,
"Nature Photonics","NAT PHOTONICS","NATURE PORTFOLIO","1749-4885","1749-4893","PHYSICS, APPLIED","SCIE","54,834","32.3","Q1","7.85","15.95"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","ENERGY & FUELS","SCIE","17,086","32","Q1","2.33","33.33"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","ENGINEERING, CHEMICAL","SCIE","17,086","32","Q1","2.33","33.33"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","ENGINEERING, MECHANICAL","SCIE","17,086","32","Q1","2.33","33.33"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","PERGAMON-ELSEVIER SCIENCE LTD","0360-1285","1873-216X","THERMODYNAMICS","SCIE","17,086","32","Q1","2.33","33.33"%,
"NATURE GENETICS","NAT GENET","NATURE PORTFOLIO","1061-4036","1546-1718","GENETICS & HEREDITY","SCIE","104,512","31.8","Q1","8.83","35.62"%,
"Nano-Micro Letters","NANO-MICRO LETT","SHANGHAI JIAO TONG UNIV PRESS","2311-6706","2150-5551","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","24,758","31.6","Q1","4.56","99.85"%,
"Nano-Micro Letters","NANO-MICRO LETT","SHANGHAI JIAO TONG UNIV PRESS","2311-6706","2150-5551","NANOSCIENCE & NANOTECHNOLOGY","SCIE","24,758","31.6","Q1","4.56","99.85"%,
"Nano-Micro Letters","NANO-MICRO LETT","SHANGHAI JIAO TONG UNIV PRESS","2311-6706","2150-5551","PHYSICS, APPLIED","SCIE","24,758","31.6","Q1","4.56","99.85"%,
"MATERIALS SCIENCE & ENGINEERING R-REPORTS","MAT SCI ENG R","ELSEVIER SCIENCE SA","0927-796X","1879-212X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","9,809","31.6","Q1","2.03","22.08"%,
"MATERIALS SCIENCE & ENGINEERING R-REPORTS","MAT SCI ENG R","ELSEVIER SCIENCE SA","0927-796X","1879-212X","PHYSICS, APPLIED","SCIE","9,809","31.6","Q1","2.03","22.08"%,
"Nature Reviews Endocrinology","NAT REV ENDOCRINOL","NATURE PORTFOLIO","1759-5029","1759-5037","ENDOCRINOLOGY & METABOLISM","SCIE","20,973","31","Q1","4.86","4.58"%,
"Lancet Gastroenterology & Hepatology","LANCET GASTROENTEROL","ELSEVIER INC","N/A","2468-1253","GASTROENTEROLOGY & HEPATOLOGY","SCIE","13,317","30.9","Q1","6.61","11.35"%,
"Lancet Psychiatry","LANCET PSYCHIAT","ELSEVIER SCI LTD","2215-0374","N/A","PSYCHIATRY","SCIE, SSCI","19,419","30.8","Q1","8.83","24.54"%,
"Cancer Discovery","CANCER DISCOV","AMER ASSOC CANCER RESEARCH","2159-8274","2159-8290","ONCOLOGY","SCIE","33,553","30.6","Q1","6.49","36.81"%,
"Nature Climate Change","NAT CLIM CHANGE","NATURE PORTFOLIO","1758-678X","1758-6798","ENVIRONMENTAL SCIENCES","SCIE","46,872","30.3","Q1","5.6","23.76"%,
"Nature Climate Change","NAT CLIM CHANGE","NATURE PORTFOLIO","1758-678X","1758-6798","ENVIRONMENTAL STUDIES","SSCI","46,872","30.3","Q1","5.6","23.76"%,
"Nature Climate Change","NAT CLIM CHANGE","NATURE PORTFOLIO","1758-678X","1758-6798","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","46,872","30.3","Q1","5.6","23.76"%,
"Journal of Hematology & Oncology","J HEMATOL ONCOL","BMC","N/A","1756-8722","HEMATOLOGY","SCIE","22,392","29.9","Q1","4.2","99.7"%,
"Journal of Hematology & Oncology","J HEMATOL ONCOL","BMC","N/A","1756-8722","ONCOLOGY","SCIE","22,392","29.9","Q1","4.2","99.7"%,
"INTENSIVE CARE MEDICINE","INTENS CARE MED","SPRINGER","0342-4642","1432-1238","CRITICAL CARE MEDICINE","SCIE","30,479","29.6","Q1","4.79","37.87"%,
"Nature Reviews Rheumatology","NAT REV RHEUMATOL","NATURE PORTFOLIO","1759-4790","1759-4804","RHEUMATOLOGY","SCIE","15,826","29.4","Q1","5.51","3.45"%,
"Advanced Powder Materials","ADV POWDER MATER","KEAI PUBLISHING LTD","N/A","2772-834X","MATERIALS SCIENCE, MULTIDISCIPLINARY","ESCI","1,725","28.7","Q1","8.36","97.56"%,
"Nature Reviews Nephrology","NAT REV NEPHROL","NATURE PORTFOLIO","1759-5061","1759-507X","UROLOGY & NEPHROLOGY","SCIE","16,054","28.7","Q1","6.92","4.05"%,
"NATURE REVIEWS NEUROSCIENCE","NAT REV NEUROSCI","NATURE PORTFOLIO","1471-003X","1471-0048","NEUROSCIENCES","SCIE","46,346","28.7","Q1","4.29","1.46"%,
"Electrochemical Energy Reviews","ELECTROCHEM ENERGY R","SPRINGERNATURE","2520-8489","2520-8136","ELECTROCHEMISTRY","SCIE","4,349","28.5","Q1","1.92","29.9"%,
"Annual Review of Pathology-Mechanisms of Disease","ANNU REV PATHOL-MECH","ANNUAL REVIEWS","1553-4006","1553-4014","PATHOLOGY","SCIE","8,518","28.4","Q1","6.48","36.92"%,
"Nature Reviews Neurology","NAT REV NEUROL","NATURE PORTFOLIO","1759-4758","1759-4766","CLINICAL NEUROLOGY","SCIE","20,025","28.2","Q1","5.95","1.46"%,
"CELL RESEARCH","CELL RES","SPRINGERNATURE","1001-0602","1748-7838","CELL BIOLOGY","SCIE","27,776","28.2","Q1","3.63","63.69"%,
"NATURE IMMUNOLOGY","NAT IMMUNOL","NATURE PORTFOLIO","1529-2908","1529-2916","IMMUNOLOGY","SCIE","54,445","27.8","Q1","5.19","22.49"%,
"ASTRONOMY AND ASTROPHYSICS REVIEW","ASTRON ASTROPHYS REV","SPRINGER","0935-4956","1432-0754","ASTRONOMY & ASTROPHYSICS","SCIE","2,942","27.8","Q1","3.58","68.18"%,
"Nature Biomedical Engineering","NAT BIOMED ENG","NATURE PORTFOLIO","2157-846X","2157-846X","ENGINEERING, BIOMEDICAL","SCIE","16,585","27.7","Q1","5.45","16.91"%,
"Cell Metabolism","CELL METAB","CELL PRESS","1550-4131","1932-7420","CELL BIOLOGY","SCIE","58,146","27.7","Q1","5.43","27.09"%,
"Cell Metabolism","CELL METAB","CELL PRESS","1550-4131","1932-7420","ENDOCRINOLOGY & METABOLISM","SCIE","58,146","27.7","Q1","5.43","27.09"%,
"Molecular Cancer","MOL CANCER","BMC","N/A","1476-4598","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","36,571","27.7","Q1","5.25","100"%,
"Molecular Cancer","MOL CANCER","BMC","N/A","1476-4598","ONCOLOGY","SCIE","36,571","27.7","Q1","5.25","100"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","CHEMISTRY, MULTIDISCIPLINARY","SCIE","392,485","27.4","Q1","4.09","18.24"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","CHEMISTRY, PHYSICAL","SCIE","392,485","27.4","Q1","4.09","18.24"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","392,485","27.4","Q1","4.09","18.24"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","NANOSCIENCE & NANOTECHNOLOGY","SCIE","392,485","27.4","Q1","4.09","18.24"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","PHYSICS, APPLIED","SCIE","392,485","27.4","Q1","4.09","18.24"%,
"ADVANCED MATERIALS","ADV MATER","WILEY-V C H VERLAG GMBH","0935-9648","1521-4095","PHYSICS, CONDENSED MATTER","SCIE","392,485","27.4","Q1","4.09","18.24"%,
"eLight","ELIGHT","SPRINGERNATURE","2097-1710","2662-8643","OPTICS","ESCI","1,077","27.2","Q1","7.12","100"%,
"Annual Review of Immunology","ANNU REV IMMUNOL","ANNUAL REVIEWS","0732-0582","1545-3278","IMMUNOLOGY","SCIE","18,951","26.9","Q1","3.03","35.53"%,
"JOURNAL OF HEPATOLOGY","J HEPATOL","ELSEVIER","0168-8278","1600-0641","GASTROENTEROLOGY & HEPATOLOGY","SCIE","62,890","26.8","Q1","5.97","35.23"%,
"Gastroenterology","GASTROENTEROLOGY","W B SAUNDERS CO-ELSEVIER INC","0016-5085","1528-0012","GASTROENTEROLOGY & HEPATOLOGY","SCIE","90,130","26.3","Q1","5.71","32.42"%,
"Living Reviews in Relativity","LIVING REV RELATIV","SPRINGER INT PUBL AG","2367-3613","1433-8351","PHYSICS, PARTICLES & FIELDS","SCIE","3,904","26.3","Q1","3.85","100"%,
"Annual Review of Astronomy and Astrophysics","ANNU REV ASTRON ASTR","ANNUAL REVIEWS","0066-4146","1545-4282","ASTRONOMY & ASTROPHYSICS","SCIE","15,350","26.3","Q1","3.78","34.29"%,
"Nature Sustainability","NAT SUSTAIN","NATURE PORTFOLIO","2398-9629","2398-9629","ENVIRONMENTAL SCIENCES","SCIE","18,401","26.2","Q1","4.57","19.5"%,
"Nature Sustainability","NAT SUSTAIN","NATURE PORTFOLIO","2398-9629","2398-9629","ENVIRONMENTAL STUDIES","SSCI","18,401","26.2","Q1","4.57","19.5"%,
"Nature Sustainability","NAT SUSTAIN","NATURE PORTFOLIO","2398-9629","2398-9629","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SSCI","18,401","26.2","Q1","4.57","19.5"%,
"Science Robotics","SCI ROBOT","AMER ASSOC ADVANCEMENT SCIENCE","2470-9476","2470-9476","ROBOTICS","SCIE","11,701","26.1","Q1","5.68","0"%,
"PROGRESS IN POLYMER SCIENCE","PROG POLYM SCI","PERGAMON-ELSEVIER SCIENCE LTD","0079-6700","1873-1619","POLYMER SCIENCE","SCIE","27,471","26","Q1","2.15","12.9"%,
"Immunity","IMMUNITY","CELL PRESS","1074-7613","1097-4180","IMMUNOLOGY","SCIE","72,460","25.5","Q1","4.87","29.4"%,
"Lancet Public Health","LANCET PUBLIC HEALTH","ELSEVIER SCI LTD","2468-2667","2468-2667","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","10,784","25.4","Q1","9.3","77.6"%,
"Annual Review of Fluid Mechanics","ANNU REV FLUID MECH","ANNUAL REVIEWS","0066-4189","1545-4479","MECHANICS","SCIE","16,085","25.4","Q1","3.03","42.86"%,
"Annual Review of Fluid Mechanics","ANNU REV FLUID MECH","ANNUAL REVIEWS","0066-4189","1545-4479","PHYSICS, FLUIDS & PLASMAS","SCIE","16,085","25.4","Q1","3.03","42.86"%,
"EUROPEAN UROLOGY","EUR UROL","ELSEVIER","0302-2838","1873-7560","UROLOGY & NEPHROLOGY","SCIE","36,312","25.3","Q1","6.65","30.35"%,
"REVIEWS OF GEOPHYSICS","REV GEOPHYS","AMER GEOPHYSICAL UNION","8755-1209","1944-9208","GEOCHEMISTRY & GEOPHYSICS","SCIE","16,525","25.2","Q1","2.99","55.93"%,
"Advances in Optics and Photonics","ADV OPT PHOTONICS","Optica Publishing Group","1943-8206","N/A","OPTICS","SCIE","4,110","25.2","Q1","2.98","16.22"%,
"JAMA Pediatrics","JAMA PEDIATR","AMER MEDICAL ASSOC","2168-6203","2168-6211","PEDIATRICS","SCIE","18,898","24.7","Q1","7.75","19.68"%,
