Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access,URL,Keywords,Language,Pages,Actions
"Using argumentation theory to analyse software practitioners' defeasible evidence, inference and belief","-","A. Rainer","2017","Information and Software Technology","10.1016/j.infsof.2017.01.011","29","false","https://doi.org/10.1016/j.infsof.2017.01.011","Inference; Argumentation theory; Computer science; Data science; Software; Knowledge management; Management science; Software engineering; Artificial intelligence; Epistemology","en","62-80","Include"
"Understanding the Belief Systems behind Software Engineering Practices: Studies on Evidence-Based Practices in an Industrial Setting","Submitted by Kleber Silva (kleberbs@ufba.br) on 2017-05-31T19:45:42Z No. of bitstreams: 1 Versão final - Carol Passos.pdf: 2786576 bytes, checksum: 51176f0a4d3c8a2ac70f4fa2b6818b2c (MD5)","M. Passos","2017","LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)","10.1093/oso/9780192845290.003.0019","-","-","https://doi.org/10.1093/oso/9780192845290.003.0019","","en","151-178","Include"
"Is Server Virtualization Implementation in Business and Public Organizations a Worthwhile Investment?","Globalization is responsible for rapid development and release of information technologies. Globalization drives the competitiveness of people and organizations. Competitiveness makes organizations in particular to seek for solutions to enhance their competitive edge. Recent survey results on server virtualization suggest that the need to enhance competitiveness by reducing costs and improving business productivity is a major reason for the adoption of server virtualization in organizations. Thus, in taking adoption decisions on emerging technologies such as server virtualization, the provocative question we ask is: Is server virtualization implementation in business and public organizations a worthwhile investment? The outcomes of this study clearly show the answer is YES. However, the pitfalls associated with the implementation of these technologies are capable of making future adopters skeptical. This study examined the benefits and drawbacks of server virtualization implementation in 83 South African organizations. Server virtualization implementation has couple of drawbacks, which should be looked into.","A. Ogunyemi; K. Johnston","2017","International Journal of Information Technology and Decision Making","10.1142/s0219622017500146","1","false","https://doi.org/10.1142/s0219622017500146","Virtualization; Business; Data virtualization; Investment (military); Globalization; Industrial organization; Computer science; Economics; Cloud computing; Operating system","en","-","Include"
"The Role of Quality Assurance in Software Development Projects: Project Failures and Business Performance","In the product business still battles with the hard assignment of creating programming applications that meet quality gauges, and spending limitations. The requirement for programming to be without mistake remained a test to the IT business. Hence, the basic role of this study is to answer why officials hesitant to apportion assets to quality confirmation (QA) process amid the procedure of the framework advancement life cycle (SDLC)? This exploration utilized a quantitative study outline to research to what degree the inclusion of QA amid the SDLC procedure diminished programming venture disappointments. The information will be investigate utilizing inductive techniques and was expected to be summed up to the whole IT programming improvement populace. The exploration showed a feeling that incorporation of QA in all periods of SDLC was a great marvel. To gather the essential information, a proficient study will be led through survey structure will be utilized to take the criticisms and perspectives from various programming houses and industry specialists. The last stage will be the elucidating factual investigation by utilizing measurable techniques. Matlab programming will be utilized to gauge the fluctuation and execution by contrasting the execution parameters. As a consequence of this examination, the odds of the venture disappointment amid undertaking advancement will be declines and the business execution of the tasks will be expansions.","Ahmed Mateen; M. Jahanzaib; Nayyar Iqbal","2017","arXiv.org","10.12753/2066-026x-14-216","5","-","https://doi.org/10.12753/2066-026x-14-216","","-","485-493","Include"
"Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review","-","V. Garousi; K. Petersen; B. Ozkan","2016","Information and Software Technology","10.1016/j.infsof.2016.07.006","220","true","https://doi.org/10.1016/j.infsof.2016.07.006","Best practice; Context (archaeology); Thematic analysis; Agile software development; Systematic review; Champion; Knowledge management; Extreme programming practices; Engineering; Relevance (law)","en","106-127","Include"
"Key management processes to technology transfer success","The success rate of technology transfer from government laboratories is quite low. This paper combines findings from academic research to provide valuable managerial insights. We conclude that technology transfer factors identified so far actually relate to four management processes: project management, strategy management, innovation management, and relationship management.","D. Jin; X. Mo; A. M. Subramanian; K. Chai; C. Hang","2016","International Conference on Management of Innovation and Technology","10.1109/icmit.2016.7605009","2","false","https://doi.org/10.1109/icmit.2016.7605009","Technology management; Key (lock); Knowledge management; Technology transfer; Process management; Government (linguistics); Innovation management; Computer science; R&D management; Business","en","-","Include"
"Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey","-","V. Garousi; M. M. Eskandar; Kadir Herkiloglu","2016","Software quality journal","10.1007/s11219-016-9319-5","48","true","https://doi.org/10.1007/s11219-016-9319-5","Empirical research; Relevance (law); Confidentiality; Set (abstract data type); Software; Engineering; Engineering management; Knowledge management; Computer science; Software engineering","en","1091-1143","Include"
"The Evolution of an Enterprise System Implementation Methodology by Adaptation through Reflexivity","In spite of an Enterprise Systems Implementation Methodology's (ESIM's) potential and significance for Enterprise Systems implementation, little attention has been paid to its evolution in ES literature. Moreover, current studies reveal contradictory findings and provide a fragmented understanding. The purpose of this paper is to provide a framework underpinned by a morphogenetic approach for explaining how ESIM evolves by adaptation through reflexivity. Our qualitative study resulted in a richer description of ESIM contents differentiated by adaptation strategies through reflexivity. Four theoretically and empirically informed ESIM adaptation strategies, i.e. reorienting, embedding, aligning and connecting, with related conditions and effects are suggested. This study retains valuable insights of prior works in Information Systems Development (ISD) research, since ESIM might be regarded as one of the latest interventions undertaken in an attempt to improve the quality of an ES product and the productivity and quality of an implementation process.","D. Mihailescu; M. Mihailescu; S. Carlsson","2016","Hawaii International Conference on System Sciences","10.1109/hicss.2016.615","-","false","https://doi.org/10.1109/hicss.2016.615","Reflexivity; Adaptation (eye); Quality (philosophy); Productivity; Process (computing); Computer science; Knowledge management; Product (mathematics); Process management; Business","en","-","Include"
"A Case Study on Artefact-Based RE Improvement in Practice","Background: Defect models capture faults and methods to provoke failures. To integrate such defect models into existing quality assurance processes, we developed a defect model lifecycle framework, in which the elicitation and classification of context-specific defects forms a crucial step. Although we could gather first insights from its practical application, we still have little knowledge about its benefits and limitations. Objective: We aim at qualitatively analyzing the context-specific elicitation and classification of defects to explore the suitability of our approach for practical application. Method: We apply case study research in multiple contexts and analyze 1 what kind of defects we can elicit and the degree to which the defects matter to a context only, 2 the extent to which it leads to results useful enough for describing and operationalizing defect models, and 3 if there is a perceived additional immediate benefit from a practitioner's perspective. Results: Our results strengthen our confidence on the suitability of our approach to elicit defects that are context-specific as well as context-independent. Conclusions: We conclude so far that our approach is suitable to provide a blueprint on how to elicit and classify defects for specific contexts to be used for the improvement of quality assurance techniques.","Daniel Méndez Fernández; S. Wagner","2015","International Conference on Product Focused Software Process Improvement","10.1007/978-3-319-26844-6_9","5","-","https://doi.org/10.1007/978-3-319-26844-6_9","","-","-","Include"
"An Exploratory Study on Technology Transfer in Software Engineering","Background: Technology transfer is one key to the success of research projects, especially in Software Engineering, where the (practical) impact of the outcome may depend not only on the reliability and feasibility of technologies, but also on their applicability to industrial settings. However, there is limited knowledge on the current state of practice and how to assess the success of technology transfer. Objective: We aim at elaborating a set of hypotheses on how technology transfer takes place in Software Engineering research projects. Method: We designed an exploratory survey with the participants of two large research projects in Germany, which involve both industrial and academic partners in the area of model driven development for embedded systems. Results: Base on the extracted respondents answers of this survey, we defined a resulting theory which is based on the following set of main hypothesis: Most of the technologies developed in research projects are not mature enough for a direct application, but need post-project customisation to fit the industrial contexts (H1). Common models that represent technology transfer as a transaction of an object from a transferor to a transferee does not fit industrial reality (H2). Additionally, technology transfer takes place without an explicit process (H3). Regarding transfer mediums, most used mediums are human-intensive (H5) and industry organisations gain new knowledge mainly within their own confines (H4). Finally the motivations that drive the transfer in industry and academia are heterogenous (H6). Conclusions: From the theoretical perspective, this theory and set of hypotheses extracted from the survey results will be further explored and tested in different follow-up activities. This initial set, however, already may serve as a basis for independent assessments from other researchers to collaboratively shed light on a how technology transfer takes place in Software Engineering research projects, which are the barriers, and how to improve the transfer into practice. From the practical perspective, our results may be used as a basis for an evaluation framework for the transfer of the developed technologies in our projects. This would also help companies in getting new developed technologies transfer easier to their specific context.","Philipp Diebold; A. Vetrò; Daniel Méndez Fernández","2015","International Symposium on Empirical Software Engineering and Measurement","10.1109/esem.2015.7321189","18","true","https://doi.org/10.1109/esem.2015.7321189","Knowledge management; Computer science; Technology transfer; Exploratory research; Set (abstract data type); Process (computing); Engineering management; Knowledge transfer; Software; Key (lock)","en","-","Include"
"In Quest for Proper Mediums for Technology Transfer in Software Engineering","Background: Successful transfer of the results of research projects into practice is of great interest to all project participants. It can be assumed that different transfer mediums fulfill technology transfer (TT) with different levels of success and that they are impaired by different kinds of barriers. Objective: The goal of this study is to gain a better understanding about the different mediums used for TT in software engineering, and to identify barriers weakening the success of the application of such mediums. Method: We conducted an exploratory study implemented by a survey in the context of a German research project with a broad range of used mediums. Results: The main reported barriers were low expectations of usefulness, no awareness of existence, lack of resources, or inadequateness in terms of outdated material or being in an immature state. Conclusions: We interpreted our results as symptoms of a lack of a dissemination plan in the project. Further work will be needed to explore the implications for the transfer of research results (knowledge and techniques) to practice.","Florian Grigoleit; A. Vetrò; Philipp Diebold; Daniel Méndez Fernández; Wolfgang Böhm","2015","International Symposium on Empirical Software Engineering and Measurement","10.1109/esem.2015.7321203","15","-","https://doi.org/10.1109/esem.2015.7321203","","-","-","Include"
"Assessing the Kinect technology acceptance/diffusion into healthcare (the case of physical therapy)","Ludic engagement provides opportunity to gain from available gaming innovations to efficiently enhance mobility, reduce cost and error, and improve quality of life, particularly for patients suffering from stroke or other traumas left with reduced mobility and access to physical therapy often needed for long periods of time. Early clinical trials and implementations have provided promising evidences to the feasibility of using sensors, speech, voice recognition and visual interaction functionality of gaming consoles for assessing and improving physical performance of patients. This paper studies the cause and effect interplay of the salient derivers in the acceptance of ludic engagement. It reports on the conducted literature review and by performing ethnographic interviews creates a combined map of users' mental landscape using fuzzy cognitive map (FCM). Then using FCM simulation, the scenario of financial stimulation is identified as the most successful path to the timely adoption of ludic engagement.","N. Rahimi; J. Golzarian","2015","Int. J. Medical Eng. Informatics","10.1504/ijmei.2015.070130","1","false","https://doi.org/10.1504/ijmei.2015.070130","Implementation; Computer science; Salient; Health care; Applied psychology; Human–computer interaction; Physical medicine and rehabilitation; Psychology; Artificial intelligence; Medicine","en","-","Include"
