oci,citing,cited,creation,timespan,journal_sc,author_sc
06804725578-061103131093,10.1002/eco.2702,10.1016/j.infsof.2022.106908,2024-08-17,P2Y1M,no,no
06011788948-061103131093,10.1007/978-3-032-04200-2_17,10.1016/j.infsof.2022.106908,2025-09-09,P3Y2M,no,no
0605915717-061103131093,10.2196/68998,10.1016/j.infsof.2022.106908,2024-11-20,P2Y4M,no,no
0607712229-061103131093,10.1136/bmjopen-2024-087653,10.1016/j.infsof.2022.106908,2024-12,P2Y5M,no,no
0607186672-061103131093,10.1093/rap/rkae142,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
06011607976-061103131093,10.1016/j.agwat.2025.109548,10.1016/j.infsof.2022.106908,2025-06,P2Y11M,no,no
0605754738-061103131093,10.1007/978-3-031-71769-7_19,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
06011880143-061103131093,10.1017/s0272263125100909,10.1016/j.infsof.2022.106908,2025-06-19,P2Y11M,no,no
062604409909-061103131093,10.1080/08927936.2024.2333161,10.1016/j.infsof.2022.106908,2024-04-15,P1Y9M,no,no
061203860794-061103131093,10.1109/seaa56994.2022.00079,10.1016/j.infsof.2022.106908,2022-08,P0Y1M,no,no
06310429257-061103131093,10.1007/s11266-024-00692-1,10.1016/j.infsof.2022.106908,2024-11-04,P2Y4M,no,no
0605076150-061103131093,10.1108/ijlss-07-2024-0159,10.1016/j.infsof.2022.106908,2024-12-13,P2Y5M,no,no
0606195397-061103131093,10.1016/j.spc.2025.01.010,10.1016/j.infsof.2022.106908,2025-03,P2Y8M,no,no
06603970668-061103131093,10.1080/23789689.2022.2134648,10.1016/j.infsof.2022.106908,2022-10-18,P0Y3M,no,no
06010222642-061103131093,10.1007/s42452-025-06564-7,10.1016/j.infsof.2022.106908,2025-05-26,P2Y10M,no,no
062404279870-061103131093,10.1016/j.jamda.2024.105036,10.1016/j.infsof.2022.106908,2024-08,P2Y1M,no,no
0607340079-061103131093,10.5753/reviews.2024.3269,10.1016/j.infsof.2022.106908,2024-08-15,P2Y1M,no,no
0606194088-061103131093,10.1007/s10531-025-03021-0,10.1016/j.infsof.2022.106908,2025-01-29,P2Y6M,no,no
06010072362-061103131093,10.3389/feduc.2025.1479668,10.1016/j.infsof.2022.106908,2025-04-17,P2Y9M,no,no
061404154216-061103131093,10.3390/buildings14041165,10.1016/j.infsof.2022.106908,2024-04-20,P1Y9M,no,no
06010183111-061103131093,10.1016/j.jbusvent.2025.106503,10.1016/j.infsof.2022.106908,2025-07,P3Y0M,no,no
0629097047-061103131093,10.1145/3613372.3613404,10.1016/j.infsof.2022.106908,2023-09-25,P1Y2M,no,no
06440175753-061103131093,10.4103/cs.cs_42_21,10.1016/j.infsof.2022.106908,2023,P0Y,no,no
0608919746-061103131093,10.1177/17545730251331373,10.1016/j.infsof.2022.106908,2025-04-15,P2Y9M,no,no
06011348325-061103131093,10.1016/j.cola.2025.101342,10.1016/j.infsof.2022.106908,2025-09,P3Y2M,no,no
0607581087-061103131093,10.3390/fi17020090,10.1016/j.infsof.2022.106908,2025-02-14,P2Y7M,no,no
06011245242-061103131093,10.1080/10429247.2025.2492921,10.1016/j.infsof.2022.106908,2025-04-28,P2Y9M,no,no
0607495648-061103131093,10.1007/978-3-031-71769-7_20,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
061803892781-061103131093,10.3390/smartcities6040093,10.1016/j.infsof.2022.106908,2023-08-14,P1Y1M,no,no
06011684999-061103131093,10.3389/past.2025.15245,10.1016/j.infsof.2022.106908,2025-09-30,P3Y2M,no,no
061304303329-061103131093,10.3390/healthcare12100979,10.1016/j.infsof.2022.106908,2024-05-09,P1Y10M,no,no
061104337397-061103131093,10.1111/ijmr.12377,10.1016/j.infsof.2022.106908,2024-08-08,P2Y1M,no,no
06011789127-061103131093,10.1007/978-3-032-04200-2_24,10.1016/j.infsof.2022.106908,2025-09-09,P3Y2M,no,no
06010100677-061103131093,10.1007/s10209-025-01241-3,10.1016/j.infsof.2022.106908,2025-07-07,P3Y0M,no,no
0607799310-061103131093,10.1016/j.gecco.2025.e03485,10.1016/j.infsof.2022.106908,2025-04,P2Y9M,no,no
0605475907-061103131093,10.1016/j.infsof.2024.107641,10.1016/j.infsof.2022.106908,2025-03,P2Y8M,yes,no
06904353583-061103131093,10.1007/s00766-023-00407-w,10.1016/j.infsof.2022.106908,2023-10-11,P1Y3M,no,no
0604937772-061103131093,10.1080/13669877.2024.2447258,10.1016/j.infsof.2022.106908,2024-10-02,P2Y3M,no,no
06410139363-061103131093,10.3390/s23187757,10.1016/j.infsof.2022.106908,2023-09-08,P1Y2M,no,no
06310481912-061103131093,10.1093/icesjms/fsae060,10.1016/j.infsof.2022.106908,2024-05-17,P1Y10M,no,no
061203837730-061103131093,10.2196/preprints.52602,10.1016/j.infsof.2022.106908,2023-09-09,P1Y2M,no,no
06104800882-061103131093,10.1016/j.cesys.2024.100183,10.1016/j.infsof.2022.106908,2024-06,P1Y11M,no,no
062604295688-061103131093,10.1002/smr.2713,10.1016/j.infsof.2022.106908,2024-07-15,P2Y0M,no,no
06330537899-061103131093,10.1016/j.ssci.2024.106494,10.1016/j.infsof.2022.106908,2024-07,P2Y0M,no,no
06290536607-061103131093,10.3389/fmed.2024.1434427,10.1016/j.infsof.2022.106908,2024-07-03,P2Y0M,no,no
06280467194-061103131093,10.1007/978-3-662-69306-3_4,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
062304276013-061103131093,10.1145/3643664.3648202,10.1016/j.infsof.2022.106908,2024-04-16,P1Y9M,no,no
06280570581-061103131093,10.1080/03043797.2024.2432440,10.1016/j.infsof.2022.106908,2024-11-28,P2Y4M,no,no
06350576996-061103131093,10.12688/openreseurope.18837.1,10.1016/j.infsof.2022.106908,2024-11-27,P2Y4M,no,no
06012749420-061103131093,10.1080/21670811.2025.2485255,10.1016/j.infsof.2022.106908,2025-04-21,P2Y9M,no,no
061204317464-061103131093,10.1080/03075079.2024.2334844,10.1016/j.infsof.2022.106908,2024-03-29,P1Y8M,no,no
06012739016-061103131093,10.1093/geront/gnaf088,10.1016/j.infsof.2022.106908,2025-03-05,P2Y8M,no,no
06204720904-061103131093,10.1016/j.jocn.2024.110774,10.1016/j.infsof.2022.106908,2024-10,P2Y3M,no,no
06270156703-061103131093,10.1016/j.watres.2023.120567,10.1016/j.infsof.2022.106908,2023-10,P1Y3M,no,no
0606465165-061103131093,10.1016/j.cscm.2025.e04407,10.1016/j.infsof.2022.106908,2025-07,P3Y0M,no,no
0608957285-061103131093,10.1108/sasbe-11-2024-0477,10.1016/j.infsof.2022.106908,2025-08-15,P3Y1M,no,no
06330366273-061103131093,10.1109/access.2024.3357533,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
0609333993-061103131093,10.1002/cpt.70013,10.1016/j.infsof.2022.106908,2025-07-23,P3Y0M,no,no
0609675972-061103131093,10.1016/j.ibneur.2025.06.002,10.1016/j.infsof.2022.106908,2025-12,P3Y5M,no,no
061104337409-061103131093,10.1111/ijmr.12372,10.1016/j.infsof.2022.106908,2024-06-11,P1Y11M,no,no
061204279983-061103131093,10.34248/bsengineering.1559637,10.1016/j.infsof.2022.106908,2024-11-15,P2Y4M,no,no
061803511442-061103131093,10.1016/j.cie.2022.108801,10.1016/j.infsof.2022.106908,2022-12,P0Y5M,no,no
061804322260-061103131093,10.12688/f1000research.151493.2,10.1016/j.infsof.2022.106908,2024-09-26,P2Y2M,no,no
061104251765-061103131093,10.1109/seaa60479.2023.00050,10.1016/j.infsof.2022.106908,2023-09-06,P1Y2M,no,no
0607687885-061103131093,10.1080/01605682.2024.2436622,10.1016/j.infsof.2022.106908,2024-12-14,P2Y5M,no,no
062304366527-061103131093,10.1016/j.infsof.2024.107551,10.1016/j.infsof.2022.106908,2024-12,P2Y5M,yes,no
06011353347-061103131093,10.1016/j.rineng.2025.106082,10.1016/j.infsof.2022.106908,2025-09,P3Y2M,no,no
06010965466-061103131093,10.1002/2688-8319.70109,10.1016/j.infsof.2022.106908,2025-07,P3Y0M,no,no
0606858895-061103131093,10.5753/sbgames.2024.241082,10.1016/j.infsof.2022.106908,2024-09-30,P2Y2M,no,no
0609853767-061103131093,10.1016/j.egyr.2025.07.008,10.1016/j.infsof.2022.106908,2025-12,P3Y5M,no,no
0608782060-061103131093,10.2196/preprints.68998,10.1016/j.infsof.2022.106908,2024-11-20,P2Y4M,no,no
0638092307-061103131093,10.1109/sose59841.2023.10178558,10.1016/j.infsof.2022.106908,2023-06-14,P0Y11M,no,no
06104830597-061103131093,10.48058/urms/81.2024.2,10.1016/j.infsof.2022.106908,2024-06-28,P1Y11M,no,no
0606095862-061103131093,10.1016/j.buildenv.2025.112526,10.1016/j.infsof.2022.106908,2025-02,P2Y7M,no,no
061704211383-061103131093,10.1080/09638288.2024.2384624,10.1016/j.infsof.2022.106908,2024-08-05,P2Y1M,no,no
06012288530-061103131093,10.1016/j.enbuild.2025.115750,10.1016/j.infsof.2022.106908,2025-09,P3Y2M,no,no
06290536480-061103131093,10.3389/fmed.2024.1409392,10.1016/j.infsof.2022.106908,2024-07-10,P2Y0M,no,no
06304774013-061103131093,10.1016/j.applanim.2024.106364,10.1016/j.infsof.2022.106908,2024-08,P2Y1M,no,no
0608554998-061103131093,10.1111/acps.13813,10.1016/j.infsof.2022.106908,2025-05-06,P2Y10M,no,no
06104359752-061103131093,10.1016/j.cor.2023.106410,10.1016/j.infsof.2022.106908,2023-09,P1Y2M,no,no
061204206212-061103131093,10.1007/s12021-024-09674-6,10.1016/j.infsof.2022.106908,2024-06-26,P1Y11M,no,no
