DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),The rise of the phoenix: methodological innovation as a discourse of renewal,"D. Wastell, T. McMaster, P. Kawalek",Journal of Information and Technology,2007,(missing abstract),280602039,34,65,(missing PubMedId)
(missing DOI),Management of analytics-as-a-service - results from an action design research project,"Christian Dremel, Emanuel Stoeckli, Jochen Wulf",The Journal of Business Analysis,2020,"ABSTRACT The ability to generate business-relevant information from data and to exploit it to improve business processes, decision-making, products, and services (business analytics) is a key success factor for businesses today. Answering the call for further research on success-relevant practices and instruments for managing business analytics, we report on the results of a three-year action design research (ADR) project at a global car manufacturer. Drawing on the socio-technical systems theory, we identify seven meta-requirements and specify four principles for the design of an instrument to manage Analytics-as-a-Service (AaaS) portfolios. Our results reinforce the importance of coordinating different socio-technical components in business analytics initiatives and demonstrate how concrete management instruments, such as a proposed portfolio management tool, contribute to socio-technical alignment. For practitioners, the documented design components provide guidance on how to design and implement similar instruments that support the systematic management of AaaS portfolios.",279712342,7,83,(missing PubMedId)
(missing DOI),Open Innovation and Control: A Case from Volvo,"J. Kuschel, Bjorn Remneland, M. Kuschel",Hawaii International Conference on System Sciences,2010,"The concept of open innovation has gained wide-spread attention in different research communities. Nevertheless, it is based on a relatively thin theoretical base dominated by aspects of organizational and intellectual property strategies. Building upon a longitudinal case study, this paper provides an example of open innovation from the Volvo Group. The vehicle manufacturer joined forces for inter-organizational collaboration with a telecommunication operator and a telecommunication infrastructure provider in order to nurture the innovation of vehicle services. Ten years since its formation, this study provides an interpretation in terms of open innovation and illuminates several implications. By focusing the case on IT aspects, we show how the chosen system approach inscribes a high level of control that does not nurture distribution of new vehicle services among other stakeholders. The paper contributes to nuance the understanding of open innovation and in particular demonstrates the role of IT.",279602447,19,78,(missing PubMedId)
(missing DOI),Grounded Design – a praxeological IS research perspective,"M. Rohde, P. Brödner, G. Stevens, Matthias Betz, V. Wulf",Journal of Information and Technology,2017,(missing abstract),279478461,107,97,(missing PubMedId)
(missing DOI),Bridging the Research-Practice Gap in Requirements Engineering through Effective Teaching and Peer Learning,"A. Connor, Jim Buchan, K. Petrova",2009 Sixth International Conference on Information Technology: New Generations,2009,"In this paper, we introduce the concept of the research-practice gap as it is perceived in the field of software requirements engineering. An analysis of this gap has shown that two key causes for the research-practice gap are lack of effective communication and the relatively light coverage of requirements engineering material in University programmes. We discuss the design and delivery of a Masters course in Software Requirements Engineering (SRE) that is designed to overcome some of the issues that have caused the research-practice gap. By encouraging students to share their experiences in a peer learning environment, we aim to improve shared understanding between students (many of whom are current industry practitioners) and researchers (including academic staff members) to improve the potential for effective collaborations, whilst simultaneously developing the requirements engineering skill sets of the enrolled students. Feedback from students in the course is discussed and directions for the future development of the curriculum and learning strategies are given.",279416875,51,57,(missing PubMedId)
10.1016/J.INFSOF.2020.106473,Industry-Academia research collaboration in software engineering: The Certus model,"Dusica Marijan, Arnaud Gotlieb",Information and Software Technology,2020,(missing abstract),71839078-af4b-46aa-9b83-3d96dc1df853,50,67,(missing PubMedId)
(missing DOI),The Human-GenAI Value Loop in Human-Centered Innovation: Beyond the Magical Narrative,"Camille Grange, Théophile Demazure, Mickael Ringeval, Simon Bourdeau, Cedric Martineau Hec Montreal, Uqam, Carverinno",arXiv.org,2024,"Organisations across various industries are still exploring the potential of Generative Artificial Intelligence (GenAI) to automate a variety of knowledge work processes, including managing innovation. While innovation is often viewed as a product of individual creativity, it more commonly unfolds through a collaborative process where creativity intertwines with knowledge. However, the extent and effectiveness of GenAI in supporting this process remain open questions. Our study investigates this issue using a collaborative practice research approach focused on three GenAI‐enabled innovation projects conducted within different organisations. We explored how, why, and when GenAI could effectively be integrated into design sprints—a highly structured, collaborative process enabling human‐centred innovation. Our research identified challenges and opportunities in synchronising AI capabilities with human intelligence and creativity. To translate these insights into practical strategies, we propose four recommendations for organisations eager to leverage GenAI to both streamline and bring more value to their innovation processes: (1) establish a collaborative intelligence value loop with GenAI; (2) build trust in GenAI; (3) develop robust data collection and curation workflows; and (4) embrace a craftsman's discipline.",277853097,15,116,(missing PubMedId)
(missing DOI),Different scope of two applied biological chemistry journals as revealed by network analysis: a bibliometric study,"Samyoung Yu, Jihye Ahn, Moonsung Choi",Science Editing,2024,"Purpose: The landscape of academic publishing is experiencing significant transformations, characterized by an increasing volume of research output and the growth of interdisciplinary studies. These developments pose complex challenges for editorial boards, necessitating advanced strategies for submission management and the maintenance of publication standards.Methods: Utilizing network analysis, this study examined 1,865 articles from Applied Biological Chemistry and 1,081 articles from Journal of Applied Biological Chemistry, revealing distinct thematic and methodological orientations within these journals.Results: Applied Biological Chemistry demonstrated a pronounced focus on extraction processes, while Journal of Applied Biological Chemistry focused more on fermentation techniques and enzymatic studies. This differentiation highlights the journals’ unique contributions to the field of applied life sciences and underscores the diversity within academic publishing.Conclusion: The findings of this study not only shed light on the subtle distinctions between Applied Biological Chemistry and Journal of Applied Biological Chemistry but also emphasize the critical role of articulating the journal scope in detail in helping authors find the most suitable publication venues for their interdisciplinary research. By showcasing the utility of bibliometrics and network analysis, this research provides valuable insights for editorial boards to refine their management processes and for authors to navigate the complex landscape of academic publishing effectively, thereby enhancing the dissemination and impact of scholarly work.",277723560,0,29,(missing PubMedId)
10.1145/3494519,Industry–Academia Research Collaboration and Knowledge Co-creation: Patterns and Anti-patterns,"Dusica Marijan, Sagar Sen",ACM Transactions on Software Engineering and Methodology,2022,"Increasing the impact of software engineering research in the software industry and the society at large has long been a concern of high priority for the software engineering community. The problem of two cultures, research conducted in a vacuum (disconnected from the real world), or misaligned time horizons are just some of the many complex challenges standing in the way of successful industry–academia collaborations. This article reports on the experience of research collaboration and knowledge co-creation between industry and academia in software engineering as a way to bridge the research–practice collaboration gap. Our experience spans 14 years of collaboration between researchers in software engineering and the European and Norwegian software and IT industry. Using the participant observation and interview methods, we have collected and afterwards analyzed an extensive record of qualitative data. Drawing upon the findings made and the experience gained, we provide a set of 14 patterns and 14 anti-patterns for industry–academia collaborations, aimed to support other researchers and practitioners in establishing and running research collaboration projects in software engineering.",5f58450b-06a5-4256-864b-2dd999e5807c,35,70,(missing PubMedId)
(missing DOI),The Human-GenAI Value Loop in Human-Centered Innovation: Beyond the Magical Narrative,"Camille Grangé, Theophile Demazure, Mickaël Ringeval, Simon Bourdeau, Cedric Martineau",arXiv.org,2024,"Organizations across various industries are still exploring the potential of Generative Artificial Intelligence (GenAI) to enhance knowledge work. While innovation is often viewed as a product of individual creativity, it more commonly unfolds through a highly structured, collaborative process where creativity intertwines with knowledge work. However, the extent and effectiveness of GenAI in supporting this process remain open questions. Our study investigates this issue using a collaborative practice research approach focused on three GenAI-enabled innovation projects conducted over a year within three different organizations. We explored how, why, and when GenAI could be integrated into design sprints, a highly structured, collaborative, and human-centered innovation method. Our research identified challenges and opportunities in synchronizing AI capabilities with human intelligence and creativity. To translate these insights into practical strategies, we propose four recommendations for organizations eager to leverage GenAI to both streamline and bring more value to their innovation processes: (1) establish a collaborative intelligence value loop with GenAI; (2) build trust in GenAI, (3) develop robust data collection and curation workflows, and (4) cultivate a craftsmanship mindset.",277421101,19,116,(missing PubMedId)
(missing DOI),Researcher-Practitioner Collaboration in Action Design Research,"Stefan Cronholm, Hannes Göbel, Anup Shrestha",Australasian Journal of Information Systems,2024,"Action Design Research (ADR) is a well-known research method within Design Science Research (DSR). An essential characteristic of the ADR method is the need for researcher-practitioner collaboration (RPC). While there is abundant research on RPC regarding information systems projects in general concerning explanatory and normative knowledge, there is very limited prescriptive knowledge on how to execute RPC in ADR projects. Successful collaboration in ADR projects is imperative since the development of socio-technical IT artefacts requires frequent interaction in organisational contexts. However, RPC can be hard to manage due to competing interests. Therefore, the purpose of this paper is to present prescriptive knowledge for how to manage RPC. We have analysed a collaborative ADR project consisting of several researchers and practitioners. Based on a grounded theory approach, we have developed theoretical models based on challenges identified in an ADR project. The models provide prescriptive knowledge regarding: shape the IT artefact based on organisational intervention, exploit the mutual dependency between developing design principles and IT artefacts, and contextualise and generalise learning. Each model involves logical relationships between: conditions for the challenges, actions taken to address the challenges and consequences of the actions taken. The guidelines were deducted from the models and consist of recommendations that could be considered in future ADR projects.",277035371,2,67,(missing PubMedId)
(missing DOI),AIS Electronic,"J. McKay, P. Marshall",(missing journal),2016,"This paper examines the fundamental nature of science, design, hence design science and design research, with a view to determining a conceptualisation of design science that is useful in the discipline of information systems (IS). After reviewing several notions of design, the paper recommends a conceptualisation that involves a broad practice-based view of design, an inclusive conceptualisation of design science, and a diverse and multi-paradigmatic approach to design research. The paper recommends that the design task in IS be conceived as one that includes rather than strips away the social and organizational context of the IT artifact, and this impacts the breadth of topics embraced by design science, and the types of methods employed to further enquiry in the field.",276720804,30,57,(missing PubMedId)
(missing DOI),Information Systems and Information Technology,Hedley Rees,(missing journal),2011,"Disciplinary Foundations and Global Impact Evolving Discipline of Information Systems Heikki Topi Discipline of Information Technology Barry M. Lunt and Han Reichgelt Information Systems as a Practical Discipline Juhani Iivari Information Technology Han Reichgelt, Joseph J. Ekstrom, Art Gowan, and Barry M. Lunt Sociotechnical Approaches to the Study of Information Systems Steve Sawyer and Mohammad Hossein Jarrahi IT and Global Development Erkki Sutinen Using ICT for Development, Societal Transformation, and Beyond Sherif Kamel Technical Foundations of Data and Database Management Data Models Avi Silberschatz, Henry F. Korth, and S. Sudarshan Tuning Database Design for High Performance Philippe Bonnet and Dennis Shasha Access Methods Apostolos N. Papadopoulos, Kostas Tsichlas,Anastasios Gounaris, and Yannis Manolopoulos Query Optimization Nicolas Bruno Concurrency Control and Recovery Michael J. Franklin Distributed and Parallel Database Systems M. Tamer Ozsu and Patrick Valduriez Multimedia Databases Vincent Oria, Ying Li, Chitra Dorai, and Michael E. Houle Data, Information, and Knowledge Management Building Conceptual Modeling on the Foundation of Ontology Andrew Burton-Jones and Ron Weber Data and Information Quality Research Hongwei Zhu, Stuart E. Madnick, Yang W. Lee, and Richard Y. Wang Knowledge Management Sue Newell and Marco Marabelli Digital Libraries Edward A. Fox, Monika Akbar, Sherif Hanie El Meligy Abdelhamid, Noha Ibrahim Elsherbiny, Mohamed Magdy Gharib Farag, Fang Jin, Jonathan P. Leidig, and Sai Tulasi Neppali Knowledge Discovery and Data Mining Jennifer Jie Xu Big Data Stephen Brobst and Bill Franks Governance of Organizational Data and Information Walid el Abed and Paul Brillant Feuto Njonko Analysis, Design, and Development of Organizational Systems Design Science Research Alan R. Hevner Identifying Opportunities for IT-Enabled Organizational Change Matti Rossi and Juho Lindman Deconstructing Enterprise Systems Paul Devadoss Enterprise Architecture Martin Meyer and Markus Helfert Business Process Management and Business Process Analysis Jan vom Brocke and Christian Sonnenberg Information Requirements Determination Glenn J. Browne From Waterfall to Agile Joey F. George Human-Centered System Development Jennifer Tucker Developing and Managing Complex, Evolving Information Infrastructures Ole Hanseth Impact of Culture on Information Systems Design and Use Dianne Cyr Human-Computer Interaction and User Experience Usability Engineering John M. Carroll and Mary Beth Rosson Task Analysis and the Design of Functionality David Kieras and Keith A. Butler Designing Multimedia Applications for User Experience Alistair Sutcliffe Applying International Usability Standards Tom Stewart Designing Highly Usable Web Applications Silvia Abrahao, Emilio Insfran, and Adrian Fernandez Transforming HCI William M. Gribbons and Roland Hubscher Using Information Systems and Technology to Support Individual and Group Tasks Individual-Level Technology Adoption Research Viswanath Venkatesh, Michael G. Morris, and Fred D. Davis Computer Self-Efficacy George M. Marakas, Miguel I. Aguirre-Urreta, and Kiljae Lee Developing Individual Computing Capabilities Saurabh Gupta Role of Trust in the Design and Use of Information Technology and Information Systems Xin Li Impacts of Information Systems on Decision-Making Emre Yetgin, Matthew L. Jensen, and Teresa Shaft Computer-Supported Cooperative Work Steven E. Poltrock Information Technology for Enhancing Team Problem Solving and Decision Making Gert-Jan de Vreede, Benjamin Wigert, Triparna de Vreede, Onook Oh, Roni Reiter-Palmon, and Robert Briggs Organizational Adoption of New Communication Technologies Jonathan Grudin Social Media Use within the Workplace Ester S. Gonzalez and Hope Koch Managing and Securing the IT Infrastructure and Systems Virtualization of Storage and Systems Yang Song, Gabriel Alatorre, Aameek Singh, Jim Olson, and Ann Corrao Cloud Computing Sharon E. Hunt, John G. Mooney, and Michael L. Williams Enterprise Mobility Carsten Sorensen Sustainable IT Edward Curry and Brian Donnellan Business Continuity Nijaz Bajgoric Technical Foundations of Information Systems Security Daniela Oliveira and Jedidiah Crandall Database Security and Privacy Sabrina De Capitani di Vimercati, Sara Foresti, Sushil Jajodia, and Pierangela Samarati Behavioral Information Security Management Merrill Warkentin and Leigh Mutchler Privacy, Accuracy, and Accessibility of Digital Business Ryan T. Wright and David W. Wilson Digital Forensics Vassil Roussev Managing Organizational Information Systems and Technology Capabilities Organizing and Configuring the IT Function Till Winkler and Carol V. Brown Topics of Conversation: The New Agenda for the CIO Joe Peppard Information Technology Management Frameworks Hillol Bala and V. Ramesh Sourcing Information Technology Services Mary Lacity and Leslie Willcocks IS/IT Project Management Laurie J. Kirsch and Sandra A. Slaughter IS/IT Human Resource Development and Retention Thomas W. Ferratt and Eileen M. Trauth Performance Evaluation/Assessment for IS Professionals Fred Niederman Financial Information Systems Audit Practice Micheal Axelsen, Peter Green, and Gail Ridley Information Systems and the Domain of Business Intertwined Strategic Alignment Maturity Jerry Luftman Process of Information Systems Strategizing Anna Karpovsky, Mikko Hallanoro, and Robert D. Galliers Information Technology and Organizational Structure M. Lynne Markus Open Innovation Sirkka L. Jarvenpaa Inter-Organizational Information Systems Charles Steinfield Future of Information Systems Success William DeLone, Ephraim McLean, and Darshana Sedera Business Value of IS Investments Ellen D. Hoadley and Rajiv Kohli Information Technology and Firm Value Sunil Mithas and Henry C. Lucas, Jr. Index",276667108,12,3729,(missing PubMedId)
(missing DOI),Business process innovation based on stakeholder perceptions,"Mark O. Lewis, Brett W. Young, L. Mathiassen, Arun Rai, R. Welke","Information, Knowledge, Systems Management",2007,"The literature offers a multitude of modeling and assessment techniques to represent differing enterprise stakeholder perspectives and interests in business process innovation. While each technique yields valuable insights into possibilities for innovating business processes, these insights are limited as they are derived from a particular perspective. This paper presents an alternate approach that focuses on multiple stakeholders with differing and potentially conflicting perceptions of the state of current practice and directions for future innovation. The proposed approach can be used to capture, synthesize, and reconcile multiple stakeholder perceptions to yield a comprehensive foundation for business process innovation. 
 
Rather than being constrained by pre-conceived formalisms, this approach begins with subjective perceptions of involved stakeholders. The approach results in an informal as-is model, assessments of its strengths and weaknesses, and recommendations for how to innovate the business process. The approach encompasses four stages: engage process stakeholders; collect process data; explicate process knowledge; and, design process innovations. The argument combines the business process modeling and stakeholder analysis literature; it draws upon a case study of process innovation in a knowledge-intensive enterprise; and, it provides practical lessons for how to organize and support business process innovation based on stakeholder perceptions.",276642833,49,49,(missing PubMedId)
(missing DOI),Design of Web-Based Information Systems - New Challenges for Systems Development?,"P. Carstensen, L. Vogelsang",European Conference on Information Systems,2000,"The web-technology is going through major changes these years, both with respect to types of systems based on web-technolog y, organization of the development work, required approaches and competencies, etc. We must rethink the organization of the development work. This requires a deeper and coherent understanding of the nature of web-developme nt. This paper presents findings from a field study undertaken in a web-development company. From these findings we characterize web-application development and discuss some major challenges to cope with and to find proper support for in the future. We found that web-development is characterized by involvement of many expertise groups with little training and experience in information systems design, that some of the existing modeling and communication tools introduce severe problems, and that the pace of the introduction of new tools and features causes development and management problems. A further complication factor is that web-applications of today often are business critical systems.",276605989,77,32,(missing PubMedId)
(missing DOI),Data Governance as a Collective Action Problem,"Olivia Benfeldt, John Stouby Persson, Sabine Madsen",Information Systems Frontiers,2019,(missing abstract),276441180,99,97,(missing PubMedId)
(missing DOI),Perceptions and Processes in Assessing Software Requirements Practices,"Nannette P. Napier, L. Mathiassen, Roy D. Johnson",Americas Conference on Information Systems,2005,"Requirements engineering is a key discipline in analysis and design of business software. There are commonly accepted processes available for requirements engineering, but many organizations struggle to implement and follow these processes. A number of methods have therefore been developed to help assess and improve requirements practices. This exploratory study reports from a project at TelSoft in which we combined process assessments and stakeholder perceptions to arrive at recommendations for improving requirements practices. The paper presents the combined approach, experiences from using the approach at TelSoft, and the resulting insights and recommendations. On that basis, we offer a critical evaluation of the dominant process-driven approach and show how requirements assessment can benefit from the perceptions and active participation of key stakeholders.",276382096,3,45,(missing PubMedId)
(missing DOI),Information and Software Technologies,(missing authors),Communications in Computer and Information Science,2012,(missing abstract),276301958,2,437,(missing PubMedId)
(missing DOI),Situational Method Engineering : Fundamentals and Experiences,S. Brinkkemper,(missing journal),2010,This paper is concerned with the development of a method for collaborative policy making. The aim of this method is to improve the quality of policymaking processes. The creation of policies is a collaborative process. The quality of this collaboration has a profound impact on the quality of the resulting policies and the acceptance by its stakeholders. We therefore aim to integrate techniques from the field of collaboration engineering into our policy making method in order to improve the quality of the process and its outcomes. We present the results of two case studies conducted on the use of collaboration engineering in the context of policy making processes. A key element in this result involves the initial design of a method for policy making in terms of elementary constructs from collaboration engineering.,276217245,155,143,(missing PubMedId)
(missing DOI),A Review of Design Science in Information Systems,"Judy Marshall, Peter McKay",ACIS,2004,"This paper gives an appraisal of recent writings on design science in the information systems discipline. The authors believe that the new emphasis on design could be an insightful way to look at the discipline as long as the focus and emphasis of design science is broadened from a technical software engineering perspective to include and embrace the necessary social and organizational considerations. In addition, some potential confusions that surface in the recent design science publications are discussed, including conflating design activity with research. We argue that a reappraisal of some issues of concern may be required to ensure that design science fulfills its promise of building knowledge of design and improving practice in information systems.",276063366,88,54,(missing PubMedId)
(missing DOI),Designing Organizational Change in IT : A Theory Nexus,J. Pries-Heje,(missing journal),(missing year),"This paper presents an artifact to support the development of organizational change strategies. Based on a study of organizational change approaches we derived 10 alternative design theories. Each theory relates the conditions under which a specific change approach such as reengineering is prescriptive for an organization. Using these theories, we designed a theory nexus called the Strategic Change Nexus. This nexus is an artifact that binds together the 10 design theories into a cohesive recommendation specific to an organization’s unique strategic vision and context. The nexus leads to an analysis that produces a list-of-fit that reveals the degree to which each of the change design theories fits the organization’s setting. The Strategic Change Nexus was developed and evaluated within a field study research project involving three participating companies. Using action research, the IT organization in two of these companies collaborated with the researchers in providing promising evaluations of the version of the nexus described in this paper.",275993616,17,61,(missing PubMedId)
(missing DOI),Being Proactive: Where Action Research Meets Design Research,"R. Cole, S. Purao, M. Rossi, M. Sein",International Conference on Interaction Sciences,2004,"Information systems research has been criticized for having little influence on practice. One approach to achieving more relevance is to conduct research using appropriate research methods that balance the interests of both researchers and practitioners. This paper examines the similarities between two methods that address this mandate by adopting a proactive stance to investigating information systems in organizations. These two approaches, action research and design research, both directly intervene in real-world domains and effect changes in these domains. We investigate these similarities by examining exemplars of each type of research according to the criteria of the other. Our analysis reveals interesting parallels and similarities between the two, suggesting that the two approaches have much to learn from each other. Based on our analysis, we propose ways to facilitate cross-fertilization between the two approaches that we believe will be useful for both and for IS research in general.",275972760,384,42,(missing PubMedId)
(missing DOI),Sustainable Development Goal-17 and Nigeria Data Protection Regulation Adoption among Organizations in Nigeria,"Sumayya Babangida-Sabo, Samuel C. Avemaria Utulu, Adeyemi Abel Ajibesin","2024 International Conference on Science, Engineering and Business for Driving Sustainable Development Goals (SEB4SDG)",2024,"Adoption of computerized systems by organizations in Nigeria poses some data security challenges to citizens and people from other nations. The challenges require organizations to deploy personal data security that are in line with global standards, hence, Nigeria Data Protection Regulation (NDPR) was introduced. NDPR is to promote ethical personal data security and Nigeria’s attainment of the sustainable development goal-17. However, only small number of organizations in Nigeria are able to adopt the NDPR because its adoption is complex and necessitate the implementation of organizational change management (OCM) project. Experience shows that OCM projects usually fails because many OCM frameworks used for OCM projects do not align with both scientifically proven ideas and organizational realities. Our study addresses the benefits of collaborative practice research studies to the production of OCM frameworks that incorporates both theoretical ideas and organizational realities. Our study provides viable solutions to the problem of lack of practice oriented OCM frameworks that organizations in Nigeria can use to drive the adoption the NDPR.",275714254,0,63,(missing PubMedId)
(missing DOI),Digital innovation and transformation capabilities in a large company,"Shivam Gupta, S. Modgil, Bharat Bhushan, Sachin S. Kamble, Juhi Mishra",Expert systems,2023,"In a dynamic and quickly changing world, digital innovation and transformation can help enhancing organizational efficiency and have competitive advantage. In addition, the digital innovation and transformation can facilitate the development of a growth‐oriented culture of workforce. Therefore, this study aims at developing the digital innovation and transformation capabilities at large organization. The study uses a four‐layered process for driving the digital innovation and transformation in the case organization. The study positions the digital innovation and transformation mechanism through the lens of the dynamic capability view and institutional theories. The findings indicate the emergence of digital champions as change agents, a digital council as a monitoring channel, a digital core team as technological enablers and reverse mentoring as an innovative cultural dimension of change facilitating dynamic capabilities of the organization. In terms of institutional pressures, coercive and mimetic pressures emerged as major contributors to the advancement of the digital skill set and digital mindset of the experienced workforce especially, supported by Hofstede's cultural dimensions. Study further delineates the insights for practice, theory and policy. To this end, the study showcases the future scope of work at the case company, since it is an ongoing project on digital innovation and transformation to make organization and related infrastructure resilient, digital and innovative.",274197983,11,94,(missing PubMedId)
