Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access, URL,Keywords,Language,Numpages,Actions
"ROOM to Grow, a Mobile Well-Being Intervention for University Students: Overview of the Design Process and Outcomes","Background University students are facing a multitude of challenges and an increase in mental health issues that affect their academic performance and overall well-being. In response, Erasmus University Rotterdam launched the Student Wellbeing Programme in 2019, offering comprehensive, tailored support through a stepped-care framework to enhance student success and well-being. One of the tools developed for students is ROOM to Grow, an anonymous and accessible preventative mental health app. Objective This paper describes the process and outcomes of ROOM’s design and development, guided by the Centre for eHealth Research (CeHRes) road map and privacy-by-design principles, and highlights the lessons learned throughout this process. Methods This paper describes the first 4 phases of the CeHRes Road map: contextual inquiry, value specification, design, and operationalization. It outlines the population (ie, stakeholders), methods (ie, literature reviews, expert groups, cognitive walkthroughs, interviews, experimental designs), and outcomes of each phase. Results The most common mental health struggles among our target population were stress, anxiety symptoms, perfectionistic tendencies, and loneliness. Students often recognized these issues only once they became overwhelming. Regarding digital tools, students seek credible content specific to their experiences, as well as adaptable and intuitive systems; they are mindful of data privacy and aim to reduce their screen time. ROOM was developed to address the diverse needs and preferences of university students through a transdiagnostic approach to mental health. It targets emotion regulation (ER) skills and self-awareness, which underlie the mental health challenges experienced by our target users. ROOM comprises 26 brief exercises (ie, micro-interventions) that support the development and use of adaptive ER. The exercises incorporate techniques from various therapeutic approaches (ie, self-compassion, positive psychology, mindfulness, cognitive behavioral therapy, and acceptance and commitment therapy) to accommodate students’ diverse content preferences. To help students recognize their struggles earlier, ROOM includes a mood tracker and a self-assessment module with questionnaires that evaluate both traits (eg, perfectionistic tendencies) and states (eg, stress levels), providing personalized feedback. ROOM further implements an intelligent recommender system that connects users to relevant content, enhancing the tool’s personalization and responsiveness to users’ needs. As students aim to minimize screen time, ROOM’s goal is not prolonged app use but the application of ER skills in real life, supported by features that facilitate skill transfer into everyday settings. Finally, ROOM was developed within a “privacy-by-design” framework to address students’ privacy concerns, implementing strict privacy and security regulatory standards. Conclusions Compromises were necessary to balance user needs, resource constraints, and privacy-by-design and security standards, often limiting ROOM’s interactivity. Other challenges included simplifying complex psychological concepts into brief formats, fostering interdisciplinary collaboration, balancing academic rigor with industry production pace, and operating with fixed resources while maintaining an iterative process. This paper may serve as a primer for designing transdiagnostic, adaptive mental health interventions for youth, blending therapeutic approaches and promoting skill transfer.","Tajda Laure; Camila Villegas Meija; Danielle Remmerswaal; Djameela Dulloo; R. Van der Hallen; Birgit Mayer; Marianne Littel; B. Dierckx; J. Legerstee; R. Engels; M. Boffo","2024","JMIR Formative Research","10.2196/63325","-","-","https://doi.org/10.2196/63325","","-","-","Include"
"Narrowing Industry-Academia Gap with a Virtual Laboratory","Both the software industry and academia concur that teaching software engineering necessitates students to gain practical experience that aligns with the work in the software industry. Despite this consensus, establishing close collaborative ties between the software industry and academia has proven to be a gradual and challenging process. One method of immersing students in genuine software development contexts could involve assigning quality assurance tasks from companies and having students utilize a virtual laboratory for these assignments. This paper delineates the concept of utilizing a virtual laboratory to bridge the industry-academia gap in teaching software quality assurance activities and seeks to understand better how a virtual laboratory could be effectively used for such a purpose. In addition, the paper seeks to understand the main challenges faced by stakeholders when bridging the industry-academia gap. The paper provides real-life examples of employing a virtual laboratory for software quality assurance assignments and discusses the experiences derived from these cases. Gathered experiences suggest that the virtual laboratory is highly usable to support industry-academy collaboration for software quality assurance activities, but aligning the needs from industry and academia remains to be the essential challenge to be solved.","S. Jantunen; Timo Hynninen","2024","International Convention on Information and Communication Technology, Electronics and Microelectronics","10.1109/mipro60963.2024.10569687","2","-","https://doi.org/10.1109/mipro60963.2024.10569687","","-","-","Include"
"Context factors perceived important when looking for similar experiences in decision‐making for software components: An interview study","During software evolution, decisions related to components' origin or source significantly impact the quality properties of the product and development metrics such as cost, time to market, ease of maintenance, and further evolution. Thus, such decisions should ideally be supported by evidence, i.e., using previous experiences and information from different sources, even own previous experiences. A hindering factor to such reuse of previous experiences is that these decisions are highly context‐dependent and it is difficult to identify when previous experiences come from sufficiently similar contexts to be useful in a current setting. Conversely, when documenting a decision (as a decision experience), it is difficult to know which context factors will be most beneficial when reusing the experience in the future. An interview study is performed to identify a list of context factors that are perceived to be most important by practitioners when using experiences to support decision‐making for component sourcing, using a specific scenario with alternative sources of experiences. We observed that the further away (from a company or an interviewee) the experience evidence is, as is the case for online experiences, the more context factors are perceived as important by practitioners to make use of the experience. Furthermore, we discuss and identify further research to make this type of decision‐making more evidence‐based.","Efi Papatheocharous; C. Wohlin; Deepika Badampudi; Jan Carlson; Krzysztof Wnuk","2024","J. Softw. Evol. Process.","10.1002/smr.2668","-","-","https://doi.org/10.1002/smr.2668","","-","-","Include"
"Sustainable Growth Strategies for Bangladesh’s Leather Industry: Policy Recommendations and Future Perspectives","This study offers an in-depth analysis of the challenges and opportunities confronting the leather industry in Bangladesh, a sector poised for significant growth. Through extensive literature review and qualitative research, the paper identifies key areas such as policy framework strengthening, enhancing financial accessibility for SMEs, promoting technological innovation, and ensuring environmental compliance as instrumental for the industry’s sustainable development. Furthermore, the study underscores the need for human capital development, infrastructure enhancement, and strengthened industry associations to bolster the sector’s competitiveness on the global stage. Recognizing the industry’s potential contribution to Bangladesh’s economic development, this research proposes comprehensive policy recommendations to aid stakeholders in realizing this potential. Limitations of the study and avenues for future research are also discussed, inviting further academic and practical engagement in this vital sector.","Farjana Yeasmin Chowdhury; Md. Rasel Hawlader","2024","International journal of business management","10.5539/ijbm.v19n2p120","3","-","https://doi.org/10.5539/ijbm.v19n2p120","","-","-","Include"
"Designing NLP-based solutions for requirements variability management: experiences from a design science study at Visma","Context and motivation: In this industry-academia collaborative project, a team of researchers, supported by a software architect, business analyst, and test engineer explored the challenges of requirement variability in a large business software development company. Question/problem: Following the design science paradigm, we studied the problem of requirements analysis and tracing in the context of contractual documents, with a specific focus on managing requirements variability. This paper reports on the lessons learned from that experience, highlighting the strategies and insights gained in the realm of requirements variability management. Principal ideas/results: This experience report outlines the insights gained from applying design science in requirements engineering research in industry. We show and evaluate various strategies to tackle the issue of requirement variability. Contribution: We report on the iterations and how the solution development evolved in parallel with problem understanding. From this process, we derive five key lessons learned to highlight the effectiveness of design science in exploring solutions for requirement variability in contract-based environments.","Parisa Elahidoost; M. Unterkalmsteiner; Davide Fucci; Peter Liljenberg; Jannik Fischbach","2024","Requirements Engineering: Foundation for Software Quality","10.48550/arxiv.2402.07145","3","-","https://doi.org/10.48550/arxiv.2402.07145","","-","-","Include"
"Experiences from conducting rapid reviews in collaboration with practitioners - Two industrial cases","Evidence-based software engineering (EBSE) aims to improve research utilization in practice. It relies on systematic methods to identify, appraise, and synthesize existing research findings to answer questions of interest for practice. However, the lack of practitioners’ involvement in these studies’ design, execution, and reporting indicates a lack of appreciation for the need for knowledge exchange between researchers and practitioners. The resultant systematic literature studies often lack relevance for practice. This paper explores the use of Rapid Reviews (RRs), in fostering knowledge exchange between academia and industry. Through the lens of two case studies, we delve into the practical application and experience of conducting RRs. We analyzed the conduct of two rapid reviews by two different groups of researchers and practitioners. We collected data through interviews, and the documents produced during the review (like review protocols, search results, and presentations). The interviews were analyzed using thematic analysis. We report how the two groups of researchers and practitioners performed the rapid reviews. We observed some benefits, like promoting dialogue and paving the way for future collaborations. We also found that practitioners entrusted the researchers to develop and follow a rigorous approach and were more interested in the applicability of the findings in their context. The problems investigated in these two cases were relevant but not the most immediate ones. Therefore, rapidness was not a priority for the practitioners. The study illustrates that rapid reviews can support researcher-practitioner communication and industry-academia collaboration. Furthermore, the recommendations based on the experiences from the two cases complement the detailed guidelines researchers and practitioners may follow to increase interaction and knowledge exchange.","Sergio Rico; N. Ali; Emelie Engström; Martin Höst","2023","Information and Software Technology","10.1016/j.infsof.2023.107364","4","true","https://doi.org/10.1016/j.infsof.2023.107364","Thematic analysis; Context (archaeology); Systematic review; Relevance (law); Knowledge management; Engineering ethics; Practitioner research; Management science; Psychology; Medical education","en","-","Include"
"Action Research for Industry Academia Collaboration : A replication Study","Collaboration between industry and academic communities requires considerable work but has the power to foster innovation. This relationship with joint trust promotes knowledge exchange that helps develop more qualified researchers and professionals. The Action Research (AR) method combines theory and practice, and studies involving industry-academia collaboration (IAC) have shown encouraging results. Nevertheless, further investigation is required to verify the effects of applying this method. This research investigates the perceptions of academic master’s and doctoral program students and professionals involved in projects that applied the AR method as a strategy to foster IAC. This article replicates a case study with different projects that conducted an AR in software companies. This study indicated high satisfaction among students (83%) when using action research in the course. All students considered the practical knowledge very relevant and would like to use the method again in other opportunities throughout their academic and professional life. This investigation showed that conducting IAC projects using the AR method within the industry in an educational context was challenging. That occurred due to the lack of experience in using empirical methods. Also, the professional’s unavailability delayed the results and, consequently, the activities in the project that already had a very tight schedule.","Tâmara D. Dallegrave; W. Santos","2023","Iberian Conference on Information Systems and Technologies","10.23919/cisti58278.2023.10211674","1","-","https://doi.org/10.23919/cisti58278.2023.10211674","","-","-","Include"
"Toward a framework for the emergence and monitoring of Innovation Lab Networks","Innovation labs are considered important orchestrators of innovation processes in multi-stakeholder settings. This is a phenomenon that has grown rapidly and exponentially world-wide, despite concerns on the measurable impact they produce and the necessary means to sustain their operation over time. The multiplication of these labs in the same territory could be analyzed as a risk of increasing competition and thus increasing the number of failures of these labs. Very few authors have addressed inter-innovation lab collaborations and how such interactions can facilitate their work and thus sustain their existence over time. These places have a strong culture of sharing, collaborative innovation and co-construction, which is why in this paper we put forward the assumption that the intention to create real collaborations between these places could allow them to identify themselves and feel involved in these relationships. This paper proposes a framework for creating sustainable connections between innovation labs. Drawing on existent literature on inter-organizational networks and collaborations, our proposition aims to establish a methodological basis for the design and implementation of innovation lab networks. A design method, quality function deployment, was adapted and partially applied to this study.","Fanny Pruvot; Ferney Osorio; Laurent Dupont; Laure Morel","2023","International Conference on Engineering, Technology and Innovation","10.1109/ice/itmc58018.2023.10332283","1","-","https://doi.org/10.1109/ice/itmc58018.2023.10332283","","-","-","Include"
"A SYSTEMATIC REVIEW ABOUT ACADEMIC INDUSTRY COLLABORATION, TECHNOLOGY TRANSFER & SKILL DEVELOPMENT: A BIBLIOMETRIC ANALYSIS USING THE SCOPUS DATABASE",".","B. Thomas; V. P. Vanishree","2023","europeanchemicalbulletin","10.48047/ecb/2023.12.si6.037","-","-","https://doi.org/10.48047/ecb/2023.12.si6.037","","-","-","Include"
"Industry-academia collaboration for realism in software engineering research: Insights and recommendations","Effective industry-academia collaboration may increase software engineering research relevance by increased realism, yet very challenging for reasons like confidentiality concerns, different objectives and priorities. We analyse industry-academia collaboration scenarios based on our own experiences as Ph.D. student and supervisor, and provide insights and recommendations to facilitate future collaborations with industry. We first present our industry-academia collaboration experiences that span over two and a half years with different companies. Then, we analyse both facilitators and problems from those scenarios and synthesize recommendations based on that. Five different scenarios are analysed, including both success and failure scenarios. Reflections and insights into these experiences as well as some general recommendations are presented. We believe such experiences and insights are helpful for academic researchers to pursue industry-academia collaboration. We plan to continuously report our experience and provide our suggestions for effective collaboration with industry.","Qunying Song; P. Runeson","2023","Information and Software Technology","10.1016/j.infsof.2022.107135","11","true","https://doi.org/10.1016/j.infsof.2022.107135","Relevance (law); Plan (archaeology); Confidentiality; Supervisor; Engineering; Realism; Engineering ethics; Engineering management; Knowledge management; Computer science","en","-","Include"
"Developing and Testing a General Framework for Conducting Transdisciplinary Research","Complex societal problems cannot be resolved without transdisciplinary research (TDR). Currently, there is no focused communication platform or commonly shared research framework for conducting TDR. The current study is a continuation of the exploration of collaborations in multidisciplinary, interdisciplinary, and TDR to identify ideas that could contribute to developing and testing a general framework for conducting TDR. The systematic literature review in this study discovered three main themes (TDR initiation, TDR management, and transdisciplinary knowledge exchange). These themes formed three phases of a general framework for conducting TDR. The novelty of the presented phased general framework for conducting TDR relates to the type of learning and outputs that are required at the end of each related action of all associated stages of the three phases to enable all participants to participate in TDR. The logical sequence of these actions and associated stages and phases were verified through a survey of academics and industry professionals internationally. The findings evidenced that improved communication between academics and industry professionals can respond to complex societal problems such as sustainable development, global environmental change, and environmental crises. The findings of the current research will enable the development of a transdisciplinary collaboration framework (TCF) for the nature-based design (NBD) of sustainable buildings aligned with the Royal Institute of British Architects (RIBA) Plan of Work.","Anosh Nadeem Butt; B. Dimitrijević","2023","Sustainability","10.3390/su15054596","9","-","https://doi.org/10.3390/su15054596","","-","-","Include"
"On Supervising Master’s Theses in Industry Context","In software engineering, students easily find internships in companies while still studying. To combine their studies and employment, many of them seek to compose their final theses in an industry context, for the benefit of the employer as well as to simplify their context switching between job and studies. This can put the student between a rock and a hard place, as on one hand the employer has certain expectations in terms of working for the company, whereas the supervising professor needs to follow the university guidelines. An additional aspect worth considering is the university as an administrative home for the thesis and owner of the thesis process. In this paper, we study how the different stakeholders – the student, the supervising professor, and the company – should act for the best possible results, so that the company problem gets solved, and the results can be reported in accordance with the best academic practices. The research builds on authors’ collective supervision experience, covering more than 1000 theses (mainly master’s level) and close to a sum of hundred years. The thesis has been mainly supervised in two universities, with the clear majority executed in this setup, but there are also several exceptions where the thesis has been eventually accepted in some other university. The results are expressed in the form of anti-patterns, which consist of a definition of symptoms of a problem, its root causes, and proposals to salvage the situation in a practical fashion.","H. Jaakkola; T. Mikkonen; Kari Systä","2022","European Conference on Modelling and Simulation","10.1145/3564721.3564743","1","-","https://doi.org/10.1145/3564721.3564743","","-","-","Include"
"An alumni-based collaborative model to strengthen academia and industry partnership: The current challenges and strengths","-","R. Malhotra; M. Massoudi; Rajni Jindal","2022","Education and Information Technologies : Official Journal of the IFIP technical committee on Education","10.1007/s10639-022-11276-1","27","false","https://doi.org/10.1007/s10639-022-11276-1","General partnership; Internship; Promotion (chess); Public relations; Curriculum; Work (physics); Higher education; Product (mathematics); Business; Marketing","en","27","Include"
"Strengthening the Bridge Between Academic and the Industry Through the Academia-Industry Collaboration Plan Design Model","The study has been undertaken to integrate two different aspects of the triple helix model: universities and the industry. Special attention has been paid to the prevailing difference between the two, hampering their working as a coherent unit. Integrating the existing knowledge in the study, we proposed the Academia-Industry Collaboration Plan (AICP) design model. The model comprises processes, methods or approaches, and tools. Processes serve as a road map to third parties for establishing collaboration between academia and the industry. It has all the essential process models and a series of steps that help minimize the organizational complexity of the collaboration process between academia and the industry. Methods or approaches serve the purpose of implementing those processes effectively. Finally, appropriate tools are selected to integrate possible collaboration improvements that lead to innovation.","Farah Ahmed; M.Tahir Fattani; Syed Rizwan Ali; Rabia Noor Enam","2022","Frontiers in Psychology","10.3389/fpsyg.2022.875940","99","-","https://doi.org/10.3389/fpsyg.2022.875940","","-","-","Include"
"Evaluation of the Impact of Collaborative Research on Robust Design Methodologies: A Large Scale Empirical Case Study with an Automotive OEM","Abstract The evaluation of impact of collaborative research on robust design methodologies and methods is important to both academic and industry stakeholders. This paper introduces a framework for impact evaluation which combines the broader framework adopted for the academic research impact assessment with the organisation viewpoint centred on business results, process improvement and product development teams capability improvement. A large scale empirical study conducted with evidence from technical reports on workplace projects from an automotive OEM proved the validity of the proposed framework.","F. Campean; A. Uddin; J. Bridges; S. Fannon; U. Yildirim","2022","Proceedings of the Design Society","10.1017/pds.2022.1","2","-","https://doi.org/10.1017/pds.2022.1","","-","-","Include"
"Energizing collaborative industry-academia learning: a present case and future visions","In Industry-Academia Collaborations (IAC) both academic, scientific research results and industrial practitioner findings and experiences are produced. Both types of knowledge should be gathered, codified, and disseminated efficiently and effectively. This paper investigates a recent (2014–2017) large-scale IAC R&D&I program case (Need for Speed, N4S) from a learning perspective. It was one of the programs in the Finnish SHOK (Strategic Centres of Science, Technology, and Innovation) system. The theoretical bases are in innovation management, knowledge management, and higher education (university) pedagogy. In the future, IAC projects should be more and more commonplace since major innovations are hardly ever done in isolation, not even by the largest companies. Both intra-organizational and inter-organizational learning networks are increasingly critical success factors. Collaborative learning capabilities will thus be required more often from all the participating parties. Efficient and effective knowledge creation and sharing are underpinning future core competencies. In this paper, we present and evaluate a collaboratively created and publicly shared digital knowledge repository called “Treasure Chest” produced during our case program. The starting point was a jointly created Strategic Research and Innovation Agenda (SRIA), which defined the main research themes and listed motivating research questions to begin with—i.e., intended learning outcomes (ILO). During the 4-year program, our collaborative industry-academia (I-A) learning process produced a range of theoretical and empirical results, which were iteratively collected and packaged into the Treasure Chest repository. Outstandingly, it contained, in addition to traditional research documents, narratives of the industrial learning experiences and more than 100 actionable knowledge items. In conclusion, our vision of the future is that such transparently shared, ambitious, and versatile outcome goals with a continuous integrative collection of the results are keys to effective networked I-A collaboration and learning. In that way, the N4S largely avoided the general problem of often conflicting motives between industrial firms seeking answers and applied solutions to their immediate practical problems and academic researchers aiming at more generalizable knowledge creation and high-quality scientific publications.","Petri Kettunen; J. Järvinen; T. Mikkonen; T. Männistö","2022","European Journal of Futures Research","10.1186/s40309-022-00196-5","23","-","https://doi.org/10.1186/s40309-022-00196-5","","-","-","Include"
